customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,total_sessions,avg_session_minutes,total_usage_minutes,unique_features_used,total_tickets,avg_satisfaction,health_score,churn_prediction,churn_probability,churn_risk_score,predicted_risk_segment,recommended_action,revenue_at_risk,upsell_opportunity
1658-BYGOY,Male,1,No,No,18,Yes,Yes,Fiber optic,Month-to-month,Yes,Electronic check,95.45,1752.55,Yes,21,67.28,1412.78,6,6.0,2.5,57.6,1,0.9974471627722997,99.74,High Risk,Urgent - Retention Campaign,1145.4,None
8769-KKTPH,Female,0,Yes,Yes,63,Yes,Yes,Fiber optic,One year,Yes,Credit card (automatic),99.65,6311.2,No,24,57.35,1376.4,6,0.0,5.0,81.9,0,0.003537822562887807,0.35,Low Risk,Maintain - Standard Service,1195.8000000000002,None
5067-XJQFU,Male,1,Yes,Yes,66,Yes,Yes,Fiber optic,One year,Yes,Electronic check,108.45,7076.35,No,29,63.52,1842.17,6,2.0,3.0,77.7,0,0.10804530086742657,10.8,Low Risk,Maintain - Standard Service,1301.4,None
3957-SQXML,Female,0,Yes,Yes,34,Yes,Yes,No,Two year,No,Credit card (automatic),24.95,894.3,No,9,84.64,761.73,4,3.0,2.33,44.2,0,0.008243062223533168,0.82,Low Risk,Maintain - Standard Service,299.4,Add Protection Bundle; Add Tech Support
5954-BDFSG,Female,0,No,No,72,Yes,Yes,Fiber optic,Two year,Yes,Credit card (automatic),107.5,7853.7,No,31,62.9,1949.97,6,0.0,5.0,88.6,0,0.0037454540073499597,0.37,Low Risk,Maintain - Standard Service,1290.0,None
0434-CSFON,Female,0,Yes,No,47,Yes,Yes,Fiber optic,Month-to-month,Yes,Electronic check,100.5,4707.1,No,42,78.58,3300.3,6,2.0,3.0,80.3,0,0.11509430720844889,11.51,Low Risk,Maintain - Standard Service,1206.0,Upgrade to Annual Contract
1215-FIGMP,Male,0,No,No,60,Yes,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,No,39,60.53,2360.56,6,0.0,5.0,90.1,0,0.005004832293876698,0.5,Low Risk,Maintain - Standard Service,1078.8000000000002,Add Protection Bundle; Upgrade to Annual Contract
0526-SXDJP,Male,0,Yes,No,72,No,No phone service,DSL,Two year,No,Bank transfer (automatic),42.1,2962.0,No,7,64.59,452.1,5,0.0,5.0,69.2,0,0.0021224117124451092,0.21,Low Risk,Maintain - Standard Service,505.20000000000005,Add Streaming Services
0557-ASKVU,Female,0,Yes,Yes,18,Yes,No,DSL,One year,Yes,Credit card (automatic),54.4,957.1,No,41,60.65,2486.56,6,2.0,3.5,73.6,0,0.021481066291465248,2.15,Low Risk,Maintain - Standard Service,652.8,Add Protection Bundle; Add Streaming Services
5698-BQJOH,Female,0,No,No,9,Yes,Yes,Fiber optic,Month-to-month,No,Electronic check,94.4,857.25,Yes,5,74.57,372.85,4,4.0,3.5,39.5,1,0.9969002607257045,99.69,High Risk,Urgent - Retention Campaign,1132.8000000000002,None
5122-CYFXA,Female,0,No,No,3,Yes,No,DSL,Month-to-month,Yes,Electronic check,75.3,244.1,No,14,48.25,675.52,6,2.0,2.0,47.2,0,0.3775874985261522,37.76,Medium Risk,Monitor - Check-in Call,903.5999999999999,None
8627-ZYGSZ,Male,0,Yes,No,47,Yes,Yes,Fiber optic,One year,Yes,Electronic check,78.9,3650.35,No,40,60.06,2402.36,6,3.0,2.0,75.1,0,0.08638745947624674,8.64,Low Risk,Maintain - Standard Service,946.8000000000001,Add Protection Bundle; Add Streaming Services; Add Tech Support
3410-YOQBQ,Female,0,No,No,31,Yes,No,DSL,Two year,No,Mailed check,79.2,2497.2,No,31,58.01,1798.23,6,0.0,5.0,77.2,0,0.0028812222493189675,0.29,Low Risk,Maintain - Standard Service,950.4000000000001,None
3170-NMYVV,Female,0,Yes,Yes,50,Yes,No,No,Two year,No,Bank transfer (automatic),20.15,930.9,No,14,71.44,1000.15,5,0.0,5.0,67.3,0,0.0019099211557072123,0.19,Low Risk,Maintain - Standard Service,241.79999999999998,Add Protection Bundle
7410-OIEDU,Male,0,No,No,10,Yes,No,Fiber optic,Month-to-month,Yes,Mailed check,79.85,887.35,No,12,73.83,886.0,6,2.0,4.5,58.0,0,0.18050289730919164,18.05,Low Risk,Maintain - Standard Service,958.1999999999999,Add Protection Bundle; Add Streaming Services
2273-QCKXA,Male,0,No,No,1,Yes,No,DSL,Month-to-month,No,Mailed check,49.05,49.05,No,12,58.52,702.2,5,1.0,4.0,48.5,0,0.00681596272282489,0.68,Low Risk,Maintain - Standard Service,588.5999999999999,Add Protection Bundle; Add Streaming Services
0731-EBJQB,Female,0,Yes,Yes,52,Yes,No,No,One year,Yes,Electronic check,20.4,1090.65,No,20,52.25,1044.91,6,3.0,3.0,68.4,0,0.010787048271336116,1.08,Low Risk,Maintain - Standard Service,244.79999999999998,Add Protection Bundle; Add Tech Support
1891-QRQSA,Male,1,Yes,Yes,64,Yes,Yes,Fiber optic,Two year,Yes,Bank transfer (automatic),111.6,7099.0,No,27,58.16,1570.37,6,1.0,4.0,80.0,0,0.0058590965932275516,0.59,Low Risk,Maintain - Standard Service,1339.1999999999998,None
8028-PNXHQ,Male,0,Yes,Yes,62,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),24.25,1424.6,No,17,63.48,1079.09,6,2.0,2.5,67.4,0,0.011935083095576206,1.19,Low Risk,Maintain - Standard Service,291.0,Add Protection Bundle
5630-AHZIL,Female,0,No,Yes,3,Yes,No,DSL,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,No,10,55.9,558.98,5,2.0,2.5,41.8,0,0.13693860065511124,13.69,Low Risk,Maintain - Standard Service,774.0,None
2673-CXQEU,Female,1,No,No,56,Yes,Yes,Fiber optic,One year,No,Electronic check,110.5,6139.5,No,50,56.79,2839.28,6,1.0,5.0,95.6,0,0.007132459530122016,0.71,Low Risk,Maintain - Standard Service,1326.0,None
6416-JNVRK,Female,0,No,No,46,Yes,No,DSL,One year,No,Credit card (automatic),55.65,2688.85,No,42,58.7,2465.51,6,1.0,5.0,88.0,0,0.0038501948005385585,0.39,Low Risk,Maintain - Standard Service,667.8,Add Protection Bundle
5590-ZSKRV,Female,0,Yes,Yes,8,Yes,No,DSL,Month-to-month,No,Mailed check,54.65,482.25,No,10,61.67,616.73,5,3.0,2.67,43.9,0,0.06509940331596079,6.51,Low Risk,Maintain - Standard Service,655.8,Add Protection Bundle; Add Streaming Services; Add Tech Support
0191-ZHSKZ,Male,1,No,No,30,Yes,No,DSL,Month-to-month,Yes,Electronic check,74.75,2111.3,No,48,62.09,2980.14,6,1.0,4.0,83.1,0,0.003317487100086478,0.33,Low Risk,Maintain - Standard Service,897.0,Upgrade to Annual Contract
3887-PBQAO,Female,0,Yes,Yes,45,Yes,Yes,No,One year,Yes,Credit card (automatic),25.9,1216.6,No,15,61.79,926.87,6,1.0,3.0,63.5,0,0.0034394229562091532,0.34,Low Risk,Maintain - Standard Service,310.79999999999995,Add Protection Bundle
5919-TMRGD,Female,0,No,Yes,1,Yes,No,Fiber optic,Month-to-month,Yes,Electronic check,79.35,79.35,Yes,7,43.32,303.26,5,7.0,4.14,46.0,1,0.9971622527415236,99.72,High Risk,Urgent - Retention Campaign,952.1999999999999,None
8108-UXRQN,Female,0,Yes,Yes,11,No,No phone service,DSL,Month-to-month,No,Electronic check,50.55,565.35,No,13,70.88,921.4,6,1.0,3.0,52.9,0,0.002619486176198066,0.26,Low Risk,Maintain - Standard Service,606.5999999999999,None
9191-MYQKX,Female,0,Yes,No,7,Yes,No,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,Yes,10,54.93,549.31,6,3.0,5.0,57.9,0,0.4703137241204372,47.03,Medium Risk,Monitor - Check-in Call,901.8000000000001,None
9919-YLNNG,Female,0,No,No,42,Yes,No,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,No,31,67.44,2090.54,6,2.0,3.0,72.3,0,0.17966739909647403,17.97,Low Risk,Maintain - Standard Service,1245.6,Upgrade to Annual Contract
0318-ZOPWS,Female,0,Yes,No,49,Yes,No,No,Two year,Yes,Bank transfer (automatic),20.15,973.35,No,13,65.48,851.21,6,2.0,2.5,61.4,0,0.015704385027381532,1.57,Low Risk,Maintain - Standard Service,241.79999999999998,Add Protection Bundle
4445-ZJNMU,Male,0,No,No,9,Yes,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),99.3,918.75,No,13,62.41,811.29,6,1.0,1.0,44.3,0,0.013346566977345249,1.33,Low Risk,Maintain - Standard Service,1191.6,None
4808-YNLEU,Female,0,Yes,No,35,Yes,No,DSL,One year,Yes,Bank transfer (automatic),62.15,2215.45,No,25,68.08,1702.12,6,1.0,4.0,70.7,0,0.005549956236969149,0.55,Low Risk,Maintain - Standard Service,745.8,Add Protection Bundle
1862-QRWPE,Female,0,Yes,Yes,48,Yes,No,No,Two year,No,Bank transfer (automatic),20.65,1057.0,No,11,58.56,644.2,4,1.0,3.0,51.9,0,0.0017972793624726063,0.18,Low Risk,Maintain - Standard Service,247.79999999999998,Add Protection Bundle
2796-NNUFI,Female,0,Yes,Yes,46,Yes,No,No,Two year,Yes,Mailed check,19.95,927.1,No,6,60.32,361.91,4,0.0,5.0,56.4,0,0.0025121489298732427,0.25,Low Risk,Maintain - Standard Service,239.39999999999998,Add Protection Bundle
3016-KSVCP,Male,0,Yes,No,29,No,No phone service,DSL,Month-to-month,No,Mailed check,33.75,1009.25,No,17,71.12,1209.03,6,0.0,5.0,68.3,0,0.003659956602531952,0.37,Low Risk,Maintain - Standard Service,405.0,Add Protection Bundle; Upgrade to Annual Contract
4767-HZZHQ,Male,0,Yes,Yes,30,Yes,No,Fiber optic,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,No,41,68.2,2796.19,6,3.0,4.0,78.9,0,0.08790923774607753,8.79,Low Risk,Maintain - Standard Service,984.5999999999999,Add Protection Bundle; Add Streaming Services; Upgrade to Annual Contract; Add Tech Support
2424-WVHPL,Male,1,No,No,1,Yes,No,Fiber optic,Month-to-month,No,Electronic check,74.7,74.7,No,7,55.5,388.49,3,1.0,2.0,27.5,0,0.019152857362532052,1.92,Low Risk,Maintain - Standard Service,896.4000000000001,Add Protection Bundle; Add Streaming Services
7233-PAHHL,Male,0,Yes,Yes,66,Yes,Yes,DSL,Two year,Yes,Mailed check,84.0,5714.25,No,37,53.34,1973.71,6,3.0,2.33,79.9,0,0.040874724201794,4.09,Low Risk,Maintain - Standard Service,1008.0,None
6067-NGCEU,Female,0,No,No,65,Yes,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),111.05,7107.0,No,38,57.51,2185.53,6,1.0,5.0,90.9,0,0.006441353573424044,0.64,Low Risk,Maintain - Standard Service,1332.6,Upgrade to Annual Contract
9848-JQJTX,Male,0,No,No,72,Yes,Yes,Fiber optic,Two year,Yes,Bank transfer (automatic),100.9,7459.05,No,32,62.02,1984.48,6,3.0,3.0,81.2,0,0.09857922191522772,9.86,Low Risk,Maintain - Standard Service,1210.8000000000002,Add Tech Support
8637-XJIVR,Female,0,No,No,12,Yes,Yes,Fiber optic,Month-to-month,Yes,Electronic check,78.95,927.35,Yes,11,48.63,534.91,5,6.0,3.5,48.9,1,0.9962516847921077,99.63,High Risk,Urgent - Retention Campaign,947.4000000000001,None
9803-FTJCG,Male,0,Yes,Yes,71,Yes,Yes,DSL,One year,Yes,Credit card (automatic),66.85,4748.7,No,50,57.76,2888.14,6,1.0,3.0,91.7,0,0.0026097210818286807,0.26,Low Risk,Maintain - Standard Service,802.1999999999999,Add Streaming Services
0278-YXOOG,Male,0,No,No,5,Yes,No,No,Month-to-month,No,Mailed check,21.05,113.85,Yes,18,46.36,834.57,6,8.0,2.75,53.2,1,0.996614368196374,99.66,High Risk,Urgent - Retention Campaign,252.60000000000002,None
3212-KXOCR,Male,0,No,No,52,Yes,No,No,Two year,No,Bank transfer (automatic),21.0,1107.2,No,12,48.08,576.95,4,2.0,2.5,51.6,0,0.011619028644903927,1.16,Low Risk,Maintain - Standard Service,252.0,Add Protection Bundle
4598-XLKNJ,Female,1,Yes,No,25,Yes,No,Fiber optic,Month-to-month,Yes,Electronic check,98.5,2514.5,Yes,42,70.21,2948.75,6,4.0,2.75,73.1,1,0.9976579931919852,99.77,High Risk,Urgent - Retention Campaign,1182.0,None
6380-ARCEH,Male,0,No,No,1,Yes,No,No,Month-to-month,No,Mailed check,20.2,20.2,No,11,74.03,814.29,6,2.0,3.0,48.9,0,0.33923923777333564,33.92,Medium Risk,Monitor - Check-in Call,242.39999999999998,None
