ticketID,customerID,date,issue_type,resolution_time,satisfaction_score,status
TKT35810,7892-POOKP,2025-09-29,login_issue,16,3,open
TKT16252,7892-POOKP,2025-09-29,login_issue,6,4,resolved
TKT61551,7892-POOKP,2025-09-29,feature_request,38,3,open
TKT57206,7892-POOKP,2025-09-29,performance,8,5,escalated
TKT29805,7892-POOKP,2025-09-29,feature_request,9,1,escalated
TKT16606,6388-TABGU,2025-09-29,login_issue,18,3,escalated
TKT65486,9763-GRSKD,2025-09-29,login_issue,21,2,resolved
TKT21730,7469-LKBCI,2025-09-29,technical,86,4,open
TKT49895,7469-LKBCI,2025-09-29,performance,25,5,resolved
TKT47588,8091-TTVAX,2025-09-29,login_issue,15,5,open
TKT16397,8091-TTVAX,2025-09-29,performance,17,3,escalated
TKT74347,8091-TTVAX,2025-09-29,performance,2,4,resolved
TKT68219,0280-XJGEX,2025-09-29,login_issue,8,1,escalated
TKT86635,0280-XJGEX,2025-09-29,feature_request,9,5,resolved
TKT93268,0280-XJGEX,2025-09-29,billing,7,2,resolved
TKT86999,0280-XJGEX,2025-09-29,login_issue,33,3,escalated
TKT73959,3655-SNQYZ,2025-09-29,performance,4,3,resolved
TKT81626,8191-XWSZG,2025-09-29,technical,63,3,resolved
TKT26035,9959-WOFKT,2025-09-29,feature_request,11,5,open
TKT92205,4190-MFLUW,2025-09-29,performance,16,1,escalated
TKT80792,4190-MFLUW,2025-09-29,performance,46,5,resolved
TKT82416,8779-QRDMV,2025-09-29,feature_request,18,2,resolved
TKT33644,8779-QRDMV,2025-09-29,feature_request,40,3,open
TKT86616,8779-QRDMV,2025-09-29,performance,27,3,escalated
TKT90194,8779-QRDMV,2025-09-29,login_issue,6,1,escalated
TKT50883,1680-VDCWW,2025-09-29,performance,29,4,resolved
TKT15536,1066-JKSGK,2025-09-29,performance,5,5,open
TKT88363,1066-JKSGK,2025-09-29,feature_request,45,5,resolved
TKT97767,1066-JKSGK,2025-09-29,login_issue,22,5,escalated
TKT73237,1066-JKSGK,2025-09-29,performance,11,5,escalated
TKT64276,1066-JKSGK,2025-09-29,technical,24,1,open
TKT49479,1066-JKSGK,2025-09-29,feature_request,39,3,escalated
TKT17410,1066-JKSGK,2025-09-29,login_issue,43,3,escalated
TKT71320,1066-JKSGK,2025-09-29,performance,17,2,open
TKT31018,3638-WEABW,2025-09-29,feature_request,48,4,escalated
TKT45010,3638-WEABW,2025-09-29,technical,75,3,open
TKT76650,6322-HRPFA,2025-09-29,billing,18,4,escalated
TKT23021,6322-HRPFA,2025-09-29,billing,28,3,open
TKT63372,6322-HRPFA,2025-09-29,billing,39,5,resolved
TKT87223,6865-JZNKO,2025-09-29,technical,81,2,open
TKT34849,6865-JZNKO,2025-09-29,billing,23,2,resolved
TKT74613,6467-CHFZW,2025-09-29,feature_request,10,1,escalated
TKT90522,6467-CHFZW,2025-09-29,billing,37,2,escalated
TKT74649,6467-CHFZW,2025-09-29,performance,38,5,escalated
TKT57482,6467-CHFZW,2025-09-29,login_issue,48,4,resolved
TKT66179,6467-CHFZW,2025-09-29,login_issue,6,2,resolved
TKT89843,6467-CHFZW,2025-09-29,login_issue,36,3,open
TKT52942,6467-CHFZW,2025-09-29,performance,34,3,resolved
TKT14482,6467-CHFZW,2025-09-29,billing,44,3,resolved
TKT83286,8665-UTDHZ,2025-09-29,feature_request,20,1,escalated
TKT60739,8665-UTDHZ,2025-09-29,feature_request,15,1,resolved
TKT27167,8773-HHUOZ,2025-09-29,login_issue,40,3,resolved
TKT12742,8773-HHUOZ,2025-09-29,login_issue,9,5,escalated
TKT91049,8773-HHUOZ,2025-09-29,feature_request,1,1,escalated
TKT80918,8773-HHUOZ,2025-09-29,performance,36,1,resolved
TKT19890,3841-NFECX,2025-09-29,technical,66,5,escalated
TKT20180,4929-XIHVW,2025-09-29,technical,48,2,escalated
TKT62299,4929-XIHVW,2025-09-29,billing,1,2,resolved
TKT72014,6827-IEAUQ,2025-09-29,feature_request,39,2,resolved
TKT76021,3413-BMNZE,2025-09-29,login_issue,37,2,escalated
TKT32669,3413-BMNZE,2025-09-29,login_issue,16,3,resolved
TKT30825,3413-BMNZE,2025-09-29,login_issue,15,1,open
TKT52855,6047-YHPVI,2025-09-29,login_issue,33,1,escalated
TKT77361,6047-YHPVI,2025-09-29,feature_request,47,2,resolved
TKT32734,6047-YHPVI,2025-09-29,technical,36,5,escalated
TKT19741,6572-ADKRS,2025-09-29,performance,13,3,escalated
TKT44284,5380-WJKOV,2025-09-29,feature_request,46,1,open
TKT45217,5380-WJKOV,2025-09-29,billing,14,5,open
TKT63007,5380-WJKOV,2025-09-29,billing,8,5,escalated
TKT81270,5380-WJKOV,2025-09-29,login_issue,16,2,escalated
TKT42176,5380-WJKOV,2025-09-29,technical,58,5,resolved
TKT64741,8168-UQWWF,2025-09-29,feature_request,39,2,open
TKT37815,8168-UQWWF,2025-09-29,performance,7,3,escalated
TKT71755,8168-UQWWF,2025-09-29,technical,91,5,resolved
TKT42227,8168-UQWWF,2025-09-29,login_issue,44,5,escalated
TKT35229,8168-UQWWF,2025-09-29,feature_request,22,5,escalated
TKT61757,8168-UQWWF,2025-09-29,feature_request,7,4,escalated
TKT65979,8865-TNMNX,2025-09-29,feature_request,21,4,open
TKT71009,9867-JCZSP,2025-09-29,performance,41,5,resolved
TKT60176,9867-JCZSP,2025-09-29,technical,41,4,resolved
TKT52776,3714-NTNFO,2025-09-29,feature_request,21,1,resolved
TKT81995,3714-NTNFO,2025-09-29,login_issue,30,3,resolved
TKT91128,3714-NTNFO,2025-09-29,billing,29,5,escalated
TKT40745,7760-OYPDY,2025-09-29,performance,9,3,escalated
TKT47052,7760-OYPDY,2025-09-29,feature_request,12,5,open
TKT78616,7760-OYPDY,2025-09-29,billing,7,5,resolved
TKT70589,7760-OYPDY,2025-09-29,performance,29,4,resolved
TKT24228,7760-OYPDY,2025-09-29,technical,63,1,escalated
TKT64065,7760-OYPDY,2025-09-29,feature_request,43,3,resolved
TKT57127,8012-SOUDQ,2025-09-29,technical,40,1,resolved
TKT54865,8012-SOUDQ,2025-09-29,technical,74,5,open
TKT29337,8012-SOUDQ,2025-09-29,billing,12,3,escalated
TKT77355,9420-LOJKX,2025-09-29,login_issue,44,2,escalated
TKT11264,9420-LOJKX,2025-09-29,login_issue,41,2,open
TKT42708,9420-LOJKX,2025-09-29,feature_request,14,1,open
TKT44441,9420-LOJKX,2025-09-29,feature_request,45,2,resolved
TKT32499,9420-LOJKX,2025-09-29,feature_request,7,4,resolved
TKT14990,9420-LOJKX,2025-09-29,performance,29,3,escalated
TKT10860,9420-LOJKX,2025-09-29,billing,40,4,escalated
TKT55546,6575-SUVOI,2025-09-29,billing,10,4,open
TKT59656,6575-SUVOI,2025-09-29,feature_request,23,5,escalated
TKT70871,6575-SUVOI,2025-09-29,feature_request,2,5,escalated
TKT11533,7495-OOKFY,2025-09-29,technical,33,4,resolved
TKT11121,7495-OOKFY,2025-09-29,performance,10,2,open
TKT30181,7495-OOKFY,2025-09-29,feature_request,4,1,escalated
TKT53907,7495-OOKFY,2025-09-29,billing,13,3,escalated
TKT75069,4667-QONEA,2025-09-29,billing,28,3,open
TKT87156,4667-QONEA,2025-09-29,billing,23,3,resolved
TKT99060,4667-QONEA,2025-09-29,performance,43,2,open
TKT55779,1658-BYGOY,2025-09-29,performance,18,5,resolved
TKT75842,1658-BYGOY,2025-09-29,billing,10,3,open
TKT62544,1658-BYGOY,2025-09-29,billing,5,1,open
TKT26325,1658-BYGOY,2025-09-29,technical,68,2,escalated
TKT62045,1658-BYGOY,2025-09-29,technical,63,2,resolved
TKT45183,1658-BYGOY,2025-09-29,performance,26,2,resolved
TKT68220,5067-XJQFU,2025-09-29,technical,90,4,escalated
TKT53150,5067-XJQFU,2025-09-29,performance,11,2,resolved
TKT51446,3957-SQXML,2025-09-29,billing,25,2,escalated
TKT55997,3957-SQXML,2025-09-29,performance,14,2,escalated
TKT68126,3957-SQXML,2025-09-29,feature_request,43,3,escalated
TKT55409,0434-CSFON,2025-09-29,login_issue,3,2,escalated
TKT19251,0434-CSFON,2025-09-29,performance,3,4,resolved
TKT65887,0557-ASKVU,2025-09-29,performance,15,5,escalated
TKT27969,0557-ASKVU,2025-09-29,feature_request,16,2,open
TKT55428,5698-BQJOH,2025-09-29,feature_request,35,4,resolved
TKT91390,5698-BQJOH,2025-09-29,performance,6,4,escalated
TKT69652,5698-BQJOH,2025-09-29,login_issue,23,2,resolved
TKT60069,5698-BQJOH,2025-09-29,login_issue,14,4,open
TKT12792,5122-CYFXA,2025-09-29,billing,1,3,resolved
TKT33986,5122-CYFXA,2025-09-29,feature_request,44,1,escalated
TKT21647,8627-ZYGSZ,2025-09-29,performance,28,1,open
TKT56687,8627-ZYGSZ,2025-09-29,login_issue,33,2,escalated
TKT56201,8627-ZYGSZ,2025-09-29,billing,43,3,open
TKT90598,7410-OIEDU,2025-09-29,performance,8,5,escalated
TKT19760,7410-OIEDU,2025-09-29,performance,4,4,resolved
TKT33997,2273-QCKXA,2025-09-29,performance,44,4,open
TKT72532,0731-EBJQB,2025-09-29,performance,45,4,resolved
TKT90326,0731-EBJQB,2025-09-29,login_issue,6,2,resolved
TKT92814,0731-EBJQB,2025-09-29,feature_request,20,3,resolved
TKT30100,1891-QRQSA,2025-09-29,feature_request,3,4,escalated
TKT99584,8028-PNXHQ,2025-09-29,technical,45,2,resolved
TKT73323,8028-PNXHQ,2025-09-29,login_issue,41,3,open
TKT76211,5630-AHZIL,2025-09-29,technical,30,4,escalated
TKT98888,5630-AHZIL,2025-09-29,login_issue,41,1,open
TKT56245,2673-CXQEU,2025-09-29,login_issue,40,5,open
TKT93796,6416-JNVRK,2025-09-29,performance,7,5,resolved
TKT60268,5590-ZSKRV,2025-09-29,billing,45,5,resolved
TKT65890,5590-ZSKRV,2025-09-29,technical,37,1,resolved
TKT66481,5590-ZSKRV,2025-09-29,login_issue,26,2,escalated
TKT22449,0191-ZHSKZ,2025-09-29,login_issue,15,4,escalated
TKT44036,3887-PBQAO,2025-09-29,technical,24,3,escalated
TKT47453,5919-TMRGD,2025-09-29,performance,13,4,resolved
TKT69759,5919-TMRGD,2025-09-29,billing,27,5,resolved
TKT56088,5919-TMRGD,2025-09-29,technical,49,5,escalated
TKT44282,5919-TMRGD,2025-09-29,login_issue,3,5,open
TKT27578,5919-TMRGD,2025-09-29,login_issue,41,4,resolved
TKT69988,5919-TMRGD,2025-09-29,performance,8,2,resolved
TKT16451,5919-TMRGD,2025-09-29,login_issue,30,4,resolved
TKT31071,8108-UXRQN,2025-09-29,performance,20,3,resolved
TKT64737,9191-MYQKX,2025-09-29,technical,73,5,escalated
TKT80028,9191-MYQKX,2025-09-29,performance,31,5,resolved
TKT46324,9191-MYQKX,2025-09-29,performance,37,5,escalated
TKT93706,9919-YLNNG,2025-09-29,performance,30,5,open
TKT86912,9919-YLNNG,2025-09-29,technical,61,1,escalated
TKT18407,0318-ZOPWS,2025-09-29,feature_request,20,2,escalated
TKT13742,0318-ZOPWS,2025-09-29,performance,24,3,escalated
TKT92734,4445-ZJNMU,2025-09-29,technical,55,1,open
TKT35405,4808-YNLEU,2025-09-29,feature_request,42,4,open
TKT11505,1862-QRWPE,2025-09-29,performance,1,3,escalated
TKT15867,4767-HZZHQ,2025-09-29,feature_request,13,5,open
TKT21119,4767-HZZHQ,2025-09-29,login_issue,25,5,open
TKT44100,4767-HZZHQ,2025-09-29,billing,43,2,open
TKT88983,2424-WVHPL,2025-09-29,login_issue,17,2,resolved
TKT99247,7233-PAHHL,2025-09-29,feature_request,34,1,resolved
TKT28962,7233-PAHHL,2025-09-29,billing,45,2,open
TKT11328,7233-PAHHL,2025-09-29,performance,5,4,open
TKT84063,6067-NGCEU,2025-09-29,login_issue,40,5,escalated
TKT97340,9848-JQJTX,2025-09-29,performance,9,4,escalated
TKT93027,9848-JQJTX,2025-09-29,performance,20,1,open
TKT65357,9848-JQJTX,2025-09-29,technical,59,4,resolved
TKT94237,8637-XJIVR,2025-09-29,feature_request,2,4,open
TKT87770,8637-XJIVR,2025-09-29,feature_request,29,3,resolved
TKT33792,8637-XJIVR,2025-09-29,feature_request,7,2,resolved
TKT90366,8637-XJIVR,2025-09-29,performance,7,4,resolved
TKT35640,8637-XJIVR,2025-09-29,billing,42,4,resolved
TKT79929,8637-XJIVR,2025-09-29,login_issue,38,4,escalated
TKT23052,9803-FTJCG,2025-09-29,login_issue,21,3,escalated
TKT58835,0278-YXOOG,2025-09-29,billing,39,4,escalated
TKT21446,0278-YXOOG,2025-09-29,login_issue,11,1,escalated
TKT16369,0278-YXOOG,2025-09-29,feature_request,16,2,open
TKT36647,0278-YXOOG,2025-09-29,billing,24,1,resolved
TKT45286,0278-YXOOG,2025-09-29,technical,92,3,escalated
TKT94222,0278-YXOOG,2025-09-29,login_issue,11,2,open
TKT85372,0278-YXOOG,2025-09-29,technical,88,4,open
TKT62502,0278-YXOOG,2025-09-29,technical,64,5,resolved
TKT49271,3212-KXOCR,2025-09-29,billing,26,1,open
TKT51491,3212-KXOCR,2025-09-29,billing,8,4,open
TKT28007,4598-XLKNJ,2025-09-29,performance,7,3,open
TKT67178,4598-XLKNJ,2025-09-29,billing,41,4,resolved
TKT53486,4598-XLKNJ,2025-09-29,login_issue,31,1,escalated
TKT72792,4598-XLKNJ,2025-09-29,performance,17,3,escalated
TKT84463,6380-ARCEH,2025-09-29,technical,83,2,open
TKT40071,6380-ARCEH,2025-09-29,login_issue,17,4,open
TKT35343,3679-XASPY,2025-09-29,login_issue,8,2,resolved
TKT36467,3679-XASPY,2025-09-29,feature_request,23,3,escalated
TKT50331,3679-XASPY,2025-09-29,feature_request,42,1,open
TKT41770,7123-WQUHX,2025-09-29,feature_request,12,3,open
TKT68792,7123-WQUHX,2025-09-29,performance,9,1,resolved
TKT37695,5386-THSLQ,2025-09-29,technical,61,3,resolved
TKT39375,3192-NQECA,2025-09-29,performance,39,2,open
TKT95934,3192-NQECA,2025-09-29,performance,24,4,open
TKT91728,3192-NQECA,2025-09-29,feature_request,42,3,escalated
TKT72598,3192-NQECA,2025-09-29,billing,34,2,open
TKT21112,3192-NQECA,2025-09-29,performance,26,2,escalated
TKT48922,3192-NQECA,2025-09-29,performance,4,3,open
TKT81710,6728-DKUCO,2025-09-29,login_issue,29,5,open
TKT64458,6728-DKUCO,2025-09-29,login_issue,10,2,resolved
TKT51850,6728-DKUCO,2025-09-29,performance,27,5,resolved
TKT74922,9750-BOOHV,2025-09-29,billing,3,5,escalated
TKT33239,9750-BOOHV,2025-09-29,performance,46,4,escalated
TKT77411,9750-BOOHV,2025-09-29,login_issue,2,4,resolved
TKT86525,8597-CWYHH,2025-09-29,login_issue,31,2,resolved
TKT26371,8597-CWYHH,2025-09-29,billing,34,1,escalated
TKT71434,2848-YXSMW,2025-09-29,login_issue,33,1,resolved
TKT44920,0486-HECZI,2025-09-29,billing,8,4,open
TKT39318,0486-HECZI,2025-09-29,login_issue,36,3,open
TKT64504,0486-HECZI,2025-09-29,performance,36,2,resolved
TKT82344,4549-ZDQYY,2025-09-29,performance,17,1,open
TKT13089,4549-ZDQYY,2025-09-29,technical,27,5,open
TKT68562,5712-AHQNN,2025-09-29,performance,28,1,open
TKT82909,5712-AHQNN,2025-09-29,feature_request,45,5,resolved
TKT65173,5712-AHQNN,2025-09-29,feature_request,12,2,resolved
TKT56898,4846-WHAFZ,2025-09-29,billing,48,2,escalated
TKT66858,4846-WHAFZ,2025-09-29,login_issue,4,1,resolved
TKT21212,4846-WHAFZ,2025-09-29,performance,24,3,open
TKT80995,4846-WHAFZ,2025-09-29,login_issue,16,4,escalated
TKT33970,4846-WHAFZ,2025-09-29,billing,11,3,open
TKT58871,4846-WHAFZ,2025-09-29,billing,31,2,resolved
TKT94618,3071-VBYPO,2025-09-29,feature_request,17,1,resolved
TKT33962,5299-RULOA,2025-09-29,feature_request,11,5,escalated
TKT20769,5299-RULOA,2025-09-29,billing,16,3,resolved
TKT59998,5299-RULOA,2025-09-29,login_issue,47,1,resolved
TKT17927,5299-RULOA,2025-09-29,billing,15,3,escalated
TKT11616,5299-RULOA,2025-09-29,billing,30,4,resolved
TKT49775,5299-RULOA,2025-09-29,performance,12,5,resolved
TKT31134,5299-RULOA,2025-09-29,technical,44,4,open
TKT85533,5299-RULOA,2025-09-29,performance,20,3,escalated
TKT37577,8402-OOOHJ,2025-09-29,billing,8,1,open
TKT48653,8402-OOOHJ,2025-09-29,performance,45,3,open
TKT80421,9445-ZUEQE,2025-09-29,feature_request,37,4,open
TKT10318,1091-SOZGA,2025-09-29,technical,48,2,resolved
TKT28340,1091-SOZGA,2025-09-29,technical,34,1,resolved
TKT87574,2928-HLDBA,2025-09-29,login_issue,1,3,resolved
TKT39004,0404-SWRVG,2025-09-29,feature_request,48,2,escalated
TKT86704,0404-SWRVG,2025-09-29,technical,72,1,resolved
TKT60423,0404-SWRVG,2025-09-29,performance,17,5,open
TKT90321,7219-TLZHO,2025-09-29,feature_request,9,2,resolved
TKT60039,7219-TLZHO,2025-09-29,login_issue,7,3,resolved
TKT23716,4622-YNKIJ,2025-09-29,billing,32,4,escalated
TKT84713,4622-YNKIJ,2025-09-29,feature_request,39,5,resolved
TKT76547,4622-YNKIJ,2025-09-29,performance,17,5,open
TKT72109,4412-YLTKF,2025-09-29,billing,27,2,resolved
TKT27589,4412-YLTKF,2025-09-29,billing,31,4,resolved
TKT10150,4412-YLTKF,2025-09-29,technical,51,5,open
TKT68216,6734-PSBAW,2025-09-29,feature_request,10,5,open
TKT98652,3930-ZGWVE,2025-09-29,technical,24,3,escalated
TKT64643,2639-UGMAZ,2025-09-29,technical,57,5,open
TKT27997,2639-UGMAZ,2025-09-29,performance,41,4,escalated
TKT30813,2639-UGMAZ,2025-09-29,performance,45,3,resolved
TKT13358,2876-GZYZC,2025-09-29,login_issue,35,1,escalated
TKT73836,2876-GZYZC,2025-09-29,performance,19,5,open
TKT74995,6207-WIOLX,2025-09-29,billing,25,2,escalated
TKT93676,6207-WIOLX,2025-09-29,login_issue,47,2,escalated
TKT92052,6207-WIOLX,2025-09-29,login_issue,5,5,resolved
TKT52691,6207-WIOLX,2025-09-29,login_issue,39,5,escalated
TKT52357,6207-WIOLX,2025-09-29,billing,4,5,resolved
TKT26889,6207-WIOLX,2025-09-29,technical,50,4,open
TKT54332,3091-FYHKI,2025-09-29,login_issue,32,1,resolved
TKT21283,3091-FYHKI,2025-09-29,feature_request,4,4,open
TKT82484,3091-FYHKI,2025-09-29,login_issue,26,1,resolved
TKT98383,3091-FYHKI,2025-09-29,performance,38,2,resolved
TKT71062,2372-HWUHI,2025-09-29,technical,94,3,open
TKT31415,2372-HWUHI,2025-09-29,performance,3,2,open
TKT19435,2372-HWUHI,2025-09-29,feature_request,5,4,escalated
TKT29833,2372-HWUHI,2025-09-29,login_issue,39,2,resolved
TKT34501,2372-HWUHI,2025-09-29,billing,23,1,resolved
TKT15631,2372-HWUHI,2025-09-29,login_issue,43,1,escalated
TKT64701,7799-LGRDP,2025-09-29,feature_request,17,5,escalated
TKT60234,7850-VWJUU,2025-09-29,feature_request,47,1,resolved
TKT29188,7850-VWJUU,2025-09-29,performance,5,5,escalated
TKT44232,7850-VWJUU,2025-09-29,billing,24,2,open
TKT47873,3774-VBNXY,2025-09-29,login_issue,20,2,resolved
TKT88806,3774-VBNXY,2025-09-29,technical,46,3,open
TKT51972,3774-VBNXY,2025-09-29,technical,39,3,escalated
TKT71350,0390-DCFDQ,2025-09-29,performance,3,4,resolved
TKT81038,0390-DCFDQ,2025-09-29,technical,30,3,resolved
TKT48423,0390-DCFDQ,2025-09-29,login_issue,29,1,open
TKT28026,0390-DCFDQ,2025-09-29,billing,21,1,open
TKT46123,0390-DCFDQ,2025-09-29,login_issue,19,4,open
TKT76180,0390-DCFDQ,2025-09-29,technical,28,4,resolved
TKT58448,0390-DCFDQ,2025-09-29,billing,44,4,escalated
TKT66702,3146-MSEGF,2025-09-29,performance,44,4,resolved
TKT89796,4080-OGPJL,2025-09-29,performance,6,5,escalated
TKT17111,4080-OGPJL,2025-09-29,performance,20,1,open
TKT28821,4080-OGPJL,2025-09-29,feature_request,32,5,resolved
TKT95391,4080-OGPJL,2025-09-29,technical,35,2,escalated
TKT16641,4080-OGPJL,2025-09-29,performance,7,5,escalated
TKT78580,4080-OGPJL,2025-09-29,technical,96,4,escalated
TKT71895,4080-OGPJL,2025-09-29,technical,37,1,escalated
TKT59753,1095-WGNGG,2025-09-29,billing,9,1,escalated
TKT69758,1095-WGNGG,2025-09-29,login_issue,12,4,escalated
TKT47580,1131-QQZEB,2025-09-29,performance,35,5,escalated
TKT49748,1131-QQZEB,2025-09-29,performance,2,1,open
TKT22871,5716-EZXZN,2025-09-29,technical,60,5,resolved
TKT48720,6837-BJYDQ,2025-09-29,performance,22,1,resolved
TKT16617,6837-BJYDQ,2025-09-29,technical,86,1,open
TKT83065,2135-RXIHG,2025-09-29,billing,39,5,escalated
TKT61266,2135-RXIHG,2025-09-29,billing,22,4,open
TKT73113,2135-RXIHG,2025-09-29,login_issue,20,4,open
TKT62260,2135-RXIHG,2025-09-29,technical,83,3,open
TKT74169,2135-RXIHG,2025-09-29,technical,57,3,resolved
TKT94844,2135-RXIHG,2025-09-29,performance,34,2,open
TKT61036,6440-DKQGE,2025-09-29,feature_request,36,4,escalated
TKT89357,6440-DKQGE,2025-09-29,technical,52,3,escalated
TKT21595,3466-BYAVD,2025-09-29,billing,31,2,escalated
TKT32487,3874-EQOEP,2025-09-29,login_issue,22,4,open
TKT51854,3874-EQOEP,2025-09-29,performance,47,2,resolved
TKT85639,3874-EQOEP,2025-09-29,technical,75,1,open
TKT78853,3874-EQOEP,2025-09-29,technical,81,3,resolved
TKT50272,1679-JRFBR,2025-09-29,technical,89,1,open
TKT92020,1679-JRFBR,2025-09-29,technical,55,5,escalated
TKT92043,9073-ZZIAY,2025-09-29,performance,23,2,open
TKT62490,9073-ZZIAY,2025-09-29,billing,29,3,escalated
TKT26663,9073-ZZIAY,2025-09-29,feature_request,20,4,open
TKT30413,9167-APMXZ,2025-09-29,feature_request,19,1,resolved
TKT93436,9167-APMXZ,2025-09-29,feature_request,27,1,resolved
TKT70053,9167-APMXZ,2025-09-29,feature_request,33,5,open
TKT80959,2749-CTKAJ,2025-09-29,performance,41,5,resolved
TKT41493,6371-NZYEG,2025-09-29,billing,17,4,escalated
TKT37949,7554-NEWDD,2025-09-29,technical,77,4,open
TKT23579,7554-NEWDD,2025-09-29,billing,22,2,resolved
TKT29760,7554-NEWDD,2025-09-29,feature_request,20,5,open
TKT72632,8992-VONJD,2025-09-29,technical,52,4,escalated
TKT95941,8992-VONJD,2025-09-29,billing,26,2,escalated
TKT26231,0867-MKZVY,2025-09-29,performance,19,3,escalated
TKT89510,0867-MKZVY,2025-09-29,feature_request,5,5,open
TKT96411,0867-MKZVY,2025-09-29,performance,29,5,escalated
TKT58482,0867-MKZVY,2025-09-29,technical,83,5,resolved
TKT23352,4482-EWFMI,2025-09-29,login_issue,38,5,escalated
TKT81923,4482-EWFMI,2025-09-29,login_issue,46,5,resolved
TKT67281,4482-EWFMI,2025-09-29,billing,37,5,escalated
TKT56352,4648-YPBTM,2025-09-29,performance,36,3,open
TKT44387,4648-YPBTM,2025-09-29,performance,44,3,escalated
TKT31765,2907-ILJBN,2025-09-29,performance,43,4,resolved
TKT38292,2907-ILJBN,2025-09-29,billing,18,1,escalated
TKT90329,2907-ILJBN,2025-09-29,technical,24,2,open
TKT57027,6345-FZOQH,2025-09-29,feature_request,20,2,escalated
TKT21756,6345-FZOQH,2025-09-29,feature_request,33,1,open
TKT61417,3376-BMGFE,2025-09-29,login_issue,48,5,resolved
TKT19040,3376-BMGFE,2025-09-29,technical,86,5,open
TKT41202,3376-BMGFE,2025-09-29,feature_request,48,2,resolved
TKT16869,3376-BMGFE,2025-09-29,feature_request,48,4,escalated
TKT13394,3376-BMGFE,2025-09-29,performance,21,3,open
TKT19945,3376-BMGFE,2025-09-29,billing,45,3,escalated
TKT44759,3376-BMGFE,2025-09-29,login_issue,33,2,resolved
TKT63372,3376-BMGFE,2025-09-29,performance,48,1,open
TKT73740,5997-OPVFA,2025-09-29,performance,35,5,resolved
TKT48017,5997-OPVFA,2025-09-29,technical,63,2,resolved
TKT51448,3445-HXXGF,2025-09-29,billing,1,1,resolved
TKT43418,3445-HXXGF,2025-09-29,performance,3,2,resolved
TKT50951,3445-HXXGF,2025-09-29,billing,45,2,open
TKT49022,3445-HXXGF,2025-09-29,billing,12,2,resolved
TKT99428,3445-HXXGF,2025-09-29,technical,31,2,open
TKT54376,3445-HXXGF,2025-09-29,billing,17,4,resolved
TKT36188,3445-HXXGF,2025-09-29,login_issue,17,3,escalated
TKT84681,1159-WFSGR,2025-09-29,feature_request,43,3,resolved
TKT92760,1159-WFSGR,2025-09-29,technical,49,4,escalated
TKT13464,1159-WFSGR,2025-09-29,feature_request,4,3,resolved
TKT84155,1875-QIVME,2025-09-29,login_issue,40,4,resolved
TKT82888,1875-QIVME,2025-09-29,billing,45,1,open
TKT85275,1875-QIVME,2025-09-29,technical,40,3,escalated
TKT84666,1875-QIVME,2025-09-29,feature_request,27,4,open
TKT91802,1875-QIVME,2025-09-29,login_issue,44,3,open
TKT76207,6727-IOTLZ,2025-09-29,technical,44,3,escalated
TKT77806,6727-IOTLZ,2025-09-29,billing,46,1,escalated
TKT26678,0691-JVSYA,2025-09-29,technical,42,2,resolved
TKT48066,0691-JVSYA,2025-09-29,billing,14,2,escalated
TKT99770,0691-JVSYA,2025-09-29,billing,38,5,resolved
TKT15479,0691-JVSYA,2025-09-29,performance,35,1,open
