customerID,tenure,MonthlyCharges,Contract,churn_probability,churn_risk_score,predicted_risk_segment,recommended_action,total_tickets,avg_satisfaction,health_score,revenue_at_risk
7932-WPTDS,1,24.8,Month-to-month,0.998102150466692,99.81,High Risk,Urgent - Retention Campaign,4.0,3.5,50.9,297.6
5567-WSELE,3,94.6,Month-to-month,0.9980967622223755,99.81,High Risk,Urgent - Retention Campaign,7.0,4.14,58.2,1135.1999999999998
3751-KTZEL,1,35.05,Month-to-month,0.9980928926031152,99.81,High Risk,Urgent - Retention Campaign,6.0,2.83,48.6,420.59999999999997
1740-CSDJP,1,35.25,Month-to-month,0.998092746628341,99.81,High Risk,Urgent - Retention Campaign,5.0,2.8,48.7,423.0
9526-BIHHD,1,29.7,Month-to-month,0.9980587732124279,99.81,High Risk,Urgent - Retention Campaign,8.0,3.0,52.5,356.4
2656-TABEH,4,100.2,Month-to-month,0.998052627344814,99.81,High Risk,Urgent - Retention Campaign,7.0,2.57,47.4,1202.4
0612-RTZZA,1,25.25,Month-to-month,0.9980481968679372,99.8,High Risk,Urgent - Retention Campaign,7.0,2.29,27.4,303.0
1842-EZJMK,50,103.7,Month-to-month,0.9980479707492226,99.8,High Risk,Urgent - Retention Campaign,4.0,2.25,79.9,1244.4
0519-XUZJU,1,70.75,Month-to-month,0.9980445101490265,99.8,High Risk,Urgent - Retention Campaign,5.0,4.0,57.7,849.0
8976-OQHGT,4,56.5,Month-to-month,0.9980378309429803,99.8,High Risk,Urgent - Retention Campaign,5.0,3.2,54.7,678.0
3091-FYHKI,1,35.45,Month-to-month,0.9980378057080931,99.8,High Risk,Urgent - Retention Campaign,4.0,2.0,36.9,425.40000000000003
5052-PNLOS,3,105.35,Month-to-month,0.9980263757345877,99.8,High Risk,Urgent - Retention Campaign,7.0,1.86,48.5,1264.1999999999998
6849-WLEYG,1,19.75,Month-to-month,0.9980224397682942,99.8,High Risk,Urgent - Retention Campaign,6.0,4.0,58.3,237.0
4760-XOHVN,1,19.45,Month-to-month,0.9980221479344651,99.8,High Risk,Urgent - Retention Campaign,6.0,2.0,47.9,233.39999999999998
6688-UZPWD,11,102.0,Month-to-month,0.9980181705898893,99.8,High Risk,Urgent - Retention Campaign,6.0,3.17,49.7,1224.0
0742-MOABM,4,50.05,Month-to-month,0.9980144610229378,99.8,High Risk,Urgent - Retention Campaign,6.0,2.67,45.8,600.5999999999999
9763-PDTKK,4,94.4,Month-to-month,0.9980044071901533,99.8,High Risk,Urgent - Retention Campaign,8.0,2.75,44.9,1132.8000000000002
7734-DBOAI,1,40.1,Month-to-month,0.9979861357210169,99.8,High Risk,Urgent - Retention Campaign,7.0,3.29,48.0,481.20000000000005
6108-OQZDQ,4,97.95,Month-to-month,0.9979793612962703,99.8,High Risk,Urgent - Retention Campaign,8.0,3.12,31.6,1175.4
5759-RCVCB,3,35.2,Month-to-month,0.9979778418721112,99.8,High Risk,Urgent - Retention Campaign,6.0,2.83,35.2,422.40000000000003
6990-YNRIO,65,108.65,Two year,0.9979772667212218,99.8,High Risk,Urgent - Retention Campaign,5.0,2.6,83.1,1303.8000000000002
7294-TMAOP,1,90.55,Month-to-month,0.9979744780858537,99.8,High Risk,Urgent - Retention Campaign,8.0,2.12,50.2,1086.6
2929-ERCFZ,8,94.2,Month-to-month,0.997973599721129,99.8,High Risk,Urgent - Retention Campaign,8.0,3.25,45.6,1130.4
6877-TJMBR,1,84.8,Month-to-month,0.9979699000558675,99.8,High Risk,Urgent - Retention Campaign,8.0,2.38,46.4,1017.5999999999999
9061-TIHDA,13,95.25,Month-to-month,0.9979678856273949,99.8,High Risk,Urgent - Retention Campaign,6.0,2.33,67.5,1143.0
0375-HVGXO,1,34.7,Month-to-month,0.9979670739273657,99.8,High Risk,Urgent - Retention Campaign,7.0,3.43,51.8,416.40000000000003
7240-ETPTR,9,48.75,Month-to-month,0.9979647746648488,99.8,High Risk,Urgent - Retention Campaign,6.0,2.0,52.5,585.0
7273-TEFQD,3,41.15,Month-to-month,0.9979595656730622,99.8,High Risk,Urgent - Retention Campaign,7.0,3.0,53.6,493.79999999999995
3703-VAVCL,2,90.0,Month-to-month,0.9979570335667739,99.8,High Risk,Urgent - Retention Campaign,8.0,3.75,47.2,1080.0
5378-IKEEG,1,35.75,Month-to-month,0.9979483306017841,99.79,High Risk,Urgent - Retention Campaign,5.0,2.8,46.1,429.0
1582-RAFML,1,60.1,Month-to-month,0.9979413982094433,99.79,High Risk,Urgent - Retention Campaign,4.0,2.5,46.9,721.2
8650-RHRKE,4,29.65,Month-to-month,0.9979361805826772,99.79,High Risk,Urgent - Retention Campaign,6.0,2.17,50.0,355.79999999999995
5673-TIYIB,2,40.4,Month-to-month,0.997934197740318,99.79,High Risk,Urgent - Retention Campaign,7.0,3.71,55.6,484.79999999999995
1447-GIQMR,1,69.15,Month-to-month,0.9979226310895382,99.79,High Risk,Urgent - Retention Campaign,4.0,3.0,53.1,829.8000000000001
8348-HFYIV,2,49.25,Month-to-month,0.9979151989209621,99.79,High Risk,Urgent - Retention Campaign,8.0,2.25,28.2,591.0
4439-JMPMT,5,85.75,Month-to-month,0.9979129140609526,99.79,High Risk,Urgent - Retention Campaign,8.0,3.38,50.7,1029.0
9710-ZUSHQ,37,106.75,Month-to-month,0.9979103877848916,99.79,High Risk,Urgent - Retention Campaign,4.0,3.75,74.5,1281.0
9651-GTSAQ,53,106.1,One year,0.9979095959703448,99.79,High Risk,Urgent - Retention Campaign,5.0,2.4,71.7,1273.1999999999998
5233-GEEAX,8,29.4,Month-to-month,0.9979038462128438,99.79,High Risk,Urgent - Retention Campaign,6.0,2.5,30.2,352.79999999999995
8382-SHQEH,8,84.9,Month-to-month,0.9978960756510422,99.79,High Risk,Urgent - Retention Campaign,7.0,4.0,51.0,1018.8000000000001
8992-JQYUN,1,50.35,Month-to-month,0.9978923119492913,99.79,High Risk,Urgent - Retention Campaign,8.0,3.25,34.3,604.2
2982-VPSGI,11,94.0,Month-to-month,0.9978816794437245,99.79,High Risk,Urgent - Retention Campaign,7.0,2.57,43.1,1128.0
6599-RCLCJ,47,109.55,Month-to-month,0.9978690974253706,99.79,High Risk,Urgent - Retention Campaign,8.0,2.5,75.9,1314.6
3585-ISXZP,8,95.65,Month-to-month,0.9978636391372125,99.79,High Risk,Urgent - Retention Campaign,8.0,3.0,53.8,1147.8000000000002
3023-GFLBR,33,86.15,Month-to-month,0.9978548043164744,99.79,High Risk,Urgent - Retention Campaign,5.0,4.0,79.8,1033.8000000000002
0970-ETWGE,1,89.55,Month-to-month,0.997847595987358,99.78,High Risk,Urgent - Retention Campaign,7.0,2.71,49.5,1074.6
9206-GVPEQ,13,54.45,Month-to-month,0.9978411695218677,99.78,High Risk,Urgent - Retention Campaign,5.0,3.2,59.0,653.4000000000001
2737-WFVYW,2,45.25,Month-to-month,0.9978325077103782,99.78,High Risk,Urgent - Retention Campaign,5.0,2.6,53.0,543.0
2696-NARTR,11,73.85,Month-to-month,0.997829130066739,99.78,High Risk,Urgent - Retention Campaign,8.0,3.12,44.1,886.1999999999999
8559-CIZFV,21,77.5,One year,0.9978276354222327,99.78,High Risk,Urgent - Retention Campaign,6.0,2.67,72.3,930.0
8205-OTCHB,22,43.75,One year,0.9978244603734637,99.78,High Risk,Urgent - Retention Campaign,5.0,3.8,63.3,525.0
7938-OUHIO,3,98.7,Month-to-month,0.9978229716603121,99.78,High Risk,Urgent - Retention Campaign,5.0,2.6,47.6,1184.4
0836-SEYLU,9,40.65,Month-to-month,0.9978227996632517,99.78,High Risk,Urgent - Retention Campaign,7.0,4.14,38.3,487.79999999999995
3473-XIIIT,16,100.0,Month-to-month,0.9978227479856278,99.78,High Risk,Urgent - Retention Campaign,5.0,2.6,64.0,1200.0
7180-PISOG,1,74.5,Month-to-month,0.9978214125579263,99.78,High Risk,Urgent - Retention Campaign,6.0,3.17,53.8,894.0
4877-EVATK,1,20.0,Month-to-month,0.9978123570732962,99.78,High Risk,Urgent - Retention Campaign,5.0,2.8,53.5,240.0
9381-NDKME,24,40.65,Month-to-month,0.9978081101478355,99.78,High Risk,Urgent - Retention Campaign,6.0,3.67,60.9,487.79999999999995
2606-RMDHZ,6,30.5,Month-to-month,0.9977984356149021,99.78,High Risk,Urgent - Retention Campaign,5.0,3.4,53.7,366.0
1415-YFWLT,1,89.3,Month-to-month,0.99779574587295,99.78,High Risk,Urgent - Retention Campaign,8.0,3.12,50.0,1071.6
2660-EMUBI,10,95.35,Month-to-month,0.9977953826645777,99.78,High Risk,Urgent - Retention Campaign,7.0,2.14,31.1,1144.1999999999998
0781-LKXBR,9,100.5,Month-to-month,0.9977921632669278,99.78,High Risk,Urgent - Retention Campaign,6.0,2.83,49.8,1206.0
7854-EKTJL,2,19.6,Month-to-month,0.9977864021045327,99.78,High Risk,Urgent - Retention Campaign,8.0,2.88,52.3,235.20000000000002
3106-ULWFW,8,85.2,Month-to-month,0.997780625981888,99.78,High Risk,Urgent - Retention Campaign,8.0,4.0,43.6,1022.4000000000001
7181-BQYBV,1,102.45,Month-to-month,0.9977779731794219,99.78,High Risk,Urgent - Retention Campaign,7.0,3.0,53.7,1229.4
3776-EKTKM,1,36.45,Month-to-month,0.997770223247752,99.78,High Risk,Urgent - Retention Campaign,7.0,3.71,47.9,437.40000000000003
0231-LXVAP,1,75.9,Month-to-month,0.9977691352374554,99.78,High Risk,Urgent - Retention Campaign,7.0,3.29,55.4,910.8000000000001
0207-MDKNV,15,105.1,Month-to-month,0.9977685433642857,99.78,High Risk,Urgent - Retention Campaign,5.0,2.2,58.0,1261.1999999999998
3927-NLNRY,53,94.25,One year,0.9977678546483145,99.78,High Risk,Urgent - Retention Campaign,5.0,3.2,74.3,1131.0
9661-MHUMO,1,49.25,Month-to-month,0.9977649782484603,99.78,High Risk,Urgent - Retention Campaign,8.0,3.12,43.2,591.0
5883-GTGVD,19,99.95,Month-to-month,0.9977648458265566,99.78,High Risk,Urgent - Retention Campaign,8.0,3.25,68.1,1199.4
5729-KLZAR,4,80.85,Month-to-month,0.997757608472866,99.78,High Risk,Urgent - Retention Campaign,7.0,3.29,49.5,970.1999999999999
4636-QRJKY,6,80.5,Month-to-month,0.9977552279768355,99.78,High Risk,Urgent - Retention Campaign,5.0,2.0,34.5,966.0
2012-NWRPA,11,99.55,Month-to-month,0.9977412154735331,99.77,High Risk,Urgent - Retention Campaign,8.0,2.75,46.3,1194.6
4658-HCOHW,21,102.8,Month-to-month,0.9977409523402806,99.77,High Risk,Urgent - Retention Campaign,7.0,3.0,71.8,1233.6
8775-LHDJH,1,90.6,Month-to-month,0.9977394991570369,99.77,High Risk,Urgent - Retention Campaign,6.0,3.0,49.5,1087.1999999999998
1875-QIVME,2,104.4,Month-to-month,0.9977392082197537,99.77,High Risk,Urgent - Retention Campaign,5.0,3.0,54.0,1252.8000000000002
2302-ANTDP,48,117.45,Month-to-month,0.9977275162109124,99.77,High Risk,Urgent - Retention Campaign,8.0,3.5,86.7,1409.4
8182-PNAGI,12,50.25,Month-to-month,0.9977164686557017,99.77,High Risk,Urgent - Retention Campaign,6.0,3.5,56.9,603.0
0611-DFXKO,20,89.0,Month-to-month,0.9977107501751498,99.77,High Risk,Urgent - Retention Campaign,6.0,3.67,64.0,1068.0
4910-GMJOT,1,94.6,Month-to-month,0.9977097686608022,99.77,High Risk,Urgent - Retention Campaign,8.0,3.62,56.2,1135.1999999999998
2235-ZGKPT,4,50.85,Month-to-month,0.9977068664326513,99.77,High Risk,Urgent - Retention Campaign,6.0,3.83,58.4,610.2
0654-HMSHN,21,104.4,Month-to-month,0.9977052728530664,99.77,High Risk,Urgent - Retention Campaign,4.0,2.5,68.6,1252.8000000000002
5134-IKDAY,1,69.8,Month-to-month,0.9977047109641356,99.77,High Risk,Urgent - Retention Campaign,4.0,3.25,46.7,837.5999999999999
4323-SADQS,7,34.5,Month-to-month,0.9977031977730721,99.77,High Risk,Urgent - Retention Campaign,8.0,3.12,32.4,414.0
8098-LLAZX,4,95.45,Month-to-month,0.9977027736040595,99.77,High Risk,Urgent - Retention Campaign,7.0,2.57,47.4,1145.4
3237-AJGEH,3,31.0,Month-to-month,0.9977021048692164,99.77,High Risk,Urgent - Retention Campaign,6.0,2.67,53.5,372.0
7206-GZCDC,1,69.25,Month-to-month,0.9977012735135015,99.77,High Risk,Urgent - Retention Campaign,8.0,2.5,23.3,831.0
4597-NUCQV,24,101.25,Month-to-month,0.9976990238793039,99.77,High Risk,Urgent - Retention Campaign,7.0,2.71,72.1,1215.0
4289-DTDKW,40,101.3,Month-to-month,0.9976981198676883,99.77,High Risk,Urgent - Retention Campaign,7.0,2.86,73.6,1215.6
6356-ELRKD,1,95.6,Month-to-month,0.9976978785834071,99.77,High Risk,Urgent - Retention Campaign,5.0,3.0,30.3,1147.1999999999998
6521-YYTYI,1,93.3,Month-to-month,0.9976976483091786,99.77,High Risk,Urgent - Retention Campaign,5.0,3.4,39.3,1119.6
3755-JBMNH,16,71.8,Month-to-month,0.9976917270164554,99.77,High Risk,Urgent - Retention Campaign,7.0,3.57,70.3,861.5999999999999
3811-VBYBZ,7,99.8,Month-to-month,0.9976894413513187,99.77,High Risk,Urgent - Retention Campaign,4.0,3.25,53.3,1197.6
9025-AOMKI,6,93.55,Month-to-month,0.9976893684773814,99.77,High Risk,Urgent - Retention Campaign,4.0,2.25,42.3,1122.6
3874-EQOEP,7,95.0,Month-to-month,0.9976854269645955,99.77,High Risk,Urgent - Retention Campaign,4.0,2.5,45.5,1140.0
7503-ZGUZJ,1,84.65,Month-to-month,0.9976770758966346,99.77,High Risk,Urgent - Retention Campaign,6.0,1.83,49.0,1015.8000000000001
8945-GRKHX,1,78.65,Month-to-month,0.9976762322541477,99.77,High Risk,Urgent - Retention Campaign,4.0,2.75,49.7,943.8000000000001
4390-KYULV,3,20.55,Month-to-month,0.9976735566196879,99.77,High Risk,Urgent - Retention Campaign,4.0,2.75,47.0,246.60000000000002
8631-NBHFZ,66,79.4,Two year,0.9976733595780871,99.77,High Risk,Urgent - Retention Campaign,6.0,2.67,76.4,952.8000000000001
4078-SAYYN,11,100.75,Month-to-month,0.9976707125090178,99.77,High Risk,Urgent - Retention Campaign,5.0,2.6,45.7,1209.0
6204-IEUXJ,3,80.1,Month-to-month,0.9976700210489771,99.77,High Risk,Urgent - Retention Campaign,6.0,3.33,42.2,961.1999999999999
6319-IEJWJ,20,90.2,Month-to-month,0.9976687887041222,99.77,High Risk,Urgent - Retention Campaign,7.0,3.14,64.9,1082.4
9210-IAHGH,7,70.75,Month-to-month,0.9976643283376372,99.77,High Risk,Urgent - Retention Campaign,8.0,2.62,47.0,849.0
1069-XAIEM,1,85.05,Month-to-month,0.9976595538386263,99.77,High Risk,Urgent - Retention Campaign,4.0,2.25,50.7,1020.5999999999999
2754-XBHTB,9,77.65,Month-to-month,0.9976586560199612,99.77,High Risk,Urgent - Retention Campaign,6.0,3.67,56.8,931.8000000000001
4598-XLKNJ,25,98.5,Month-to-month,0.9976579931919852,99.77,High Risk,Urgent - Retention Campaign,4.0,2.75,73.1,1182.0
3621-CEOVK,14,100.2,Month-to-month,0.9976561310411788,99.77,High Risk,Urgent - Retention Campaign,4.0,4.75,68.5,1202.4
9134-CEQMF,7,89.5,Month-to-month,0.9976540209794426,99.77,High Risk,Urgent - Retention Campaign,8.0,3.25,55.7,1074.0
7762-URZQH,66,106.05,Two year,0.9976503014651728,99.77,High Risk,Urgent - Retention Campaign,8.0,3.88,83.7,1272.6
9889-TMAHG,8,100.3,Month-to-month,0.9976452690000653,99.76,High Risk,Urgent - Retention Campaign,6.0,2.67,54.9,1203.6
2575-GFSOE,7,69.0,Month-to-month,0.9976452439020816,99.76,High Risk,Urgent - Retention Campaign,5.0,4.0,40.9,828.0
5419-CONWX,4,99.8,Month-to-month,0.9976431770946407,99.76,High Risk,Urgent - Retention Campaign,6.0,2.67,42.8,1197.6
8375-DKEBR,1,69.6,Month-to-month,0.9976425722380372,99.76,High Risk,Urgent - Retention Campaign,6.0,2.0,50.3,835.1999999999999
6416-TVAIH,1,68.5,Month-to-month,0.9976359572118484,99.76,High Risk,Urgent - Retention Campaign,4.0,2.5,52.3,822.0
9514-JDSKI,1,40.2,Month-to-month,0.9976333808360334,99.76,High Risk,Urgent - Retention Campaign,6.0,3.5,37.9,482.40000000000003
3803-KMQFW,1,20.55,Month-to-month,0.9976326085440324,99.76,High Risk,Urgent - Retention Campaign,8.0,3.88,49.2,246.60000000000002
5419-JPRRN,1,101.45,Month-to-month,0.9976321740335695,99.76,High Risk,Urgent - Retention Campaign,7.0,1.86,26.9,1217.4
7615-ESMYF,2,44.6,Month-to-month,0.9976224497549807,99.76,High Risk,Urgent - Retention Campaign,5.0,3.8,52.4,535.2
0093-XWZFY,40,104.5,Month-to-month,0.997619314670277,99.76,High Risk,Urgent - Retention Campaign,5.0,3.4,82.9,1254.0
3424-NMNBO,58,108.85,One year,0.9976163834954553,99.76,High Risk,Urgent - Retention Campaign,7.0,2.86,72.6,1306.1999999999998
2720-WGKHP,2,94.0,Month-to-month,0.9976159783526668,99.76,High Risk,Urgent - Retention Campaign,8.0,3.88,39.7,1128.0
4678-DVQEO,1,52.2,Month-to-month,0.9976157183310189,99.76,High Risk,Urgent - Retention Campaign,8.0,3.12,53.0,626.4000000000001
7450-NWRTR,12,99.45,Month-to-month,0.9976015437353045,99.76,High Risk,Urgent - Retention Campaign,8.0,2.75,40.3,1193.4
1449-XQEMT,3,19.8,Month-to-month,0.9976011316807035,99.76,High Risk,Urgent - Retention Campaign,8.0,2.38,45.2,237.60000000000002
0122-OAHPZ,7,73.85,Month-to-month,0.9975948197271552,99.76,High Risk,Urgent - Retention Campaign,7.0,4.0,35.9,886.1999999999999
8168-UQWWF,11,97.85,Month-to-month,0.9975836051430481,99.76,High Risk,Urgent - Retention Campaign,6.0,4.0,58.7,1174.1999999999998
2074-GKOWZ,2,89.55,Month-to-month,0.9975831895392525,99.76,High Risk,Urgent - Retention Campaign,7.0,3.0,36.8,1074.6
5299-SJCZT,3,101.55,Month-to-month,0.997581980904078,99.76,High Risk,Urgent - Retention Campaign,4.0,1.75,48.0,1218.6
6892-EZDTG,4,91.65,Month-to-month,0.9975817977228872,99.76,High Risk,Urgent - Retention Campaign,7.0,3.29,51.5,1099.8000000000002
5828-AVIPD,19,100.95,One year,0.9975807575648884,99.76,High Risk,Urgent - Retention Campaign,4.0,2.25,64.7,1211.4
1768-ZAIFU,1,25.2,Month-to-month,0.9975754858846037,99.76,High Risk,Urgent - Retention Campaign,7.0,3.43,50.0,302.4
5087-SUURX,18,39.05,Month-to-month,0.9975678921278225,99.76,High Risk,Urgent - Retention Campaign,7.0,3.43,50.3,468.59999999999997
8361-LTMKD,4,74.4,Month-to-month,0.9975659567259356,99.76,High Risk,Urgent - Retention Campaign,4.0,3.5,40.5,892.8000000000001
1389-CXMLU,3,91.05,Month-to-month,0.9975615034524027,99.76,High Risk,Urgent - Retention Campaign,4.0,4.25,58.0,1092.6
6372-RFVNS,1,78.8,Month-to-month,0.9975608061934932,99.76,High Risk,Urgent - Retention Campaign,4.0,4.25,59.3,945.5999999999999
1867-BDVFH,11,74.35,Month-to-month,0.9975593259294296,99.76,High Risk,Urgent - Retention Campaign,5.0,3.4,47.1,892.1999999999999
2485-ITVKB,2,35.1,Month-to-month,0.9975577438726987,99.76,High Risk,Urgent - Retention Campaign,8.0,3.38,45.7,421.20000000000005
4398-HSCJH,3,63.6,Month-to-month,0.9975557690309492,99.76,High Risk,Urgent - Retention Campaign,5.0,2.2,49.2,763.2
3870-MQAMG,54,110.35,One year,0.997555565396018,99.76,High Risk,Urgent - Retention Campaign,8.0,3.25,71.2,1324.1999999999998
3757-NJYBX,32,106.35,Month-to-month,0.9975528747487715,99.76,High Risk,Urgent - Retention Campaign,6.0,2.33,62.6,1276.1999999999998
6776-TLWOI,3,19.85,Month-to-month,0.9975495478186882,99.75,High Risk,Urgent - Retention Campaign,6.0,3.17,53.7,238.20000000000002
8111-SLLHI,39,105.65,Month-to-month,0.9975432717007512,99.75,High Risk,Urgent - Retention Campaign,4.0,2.5,77.8,1267.8000000000002
5570-PTWEH,3,75.15,Month-to-month,0.9975414673911123,99.75,High Risk,Urgent - Retention Campaign,4.0,3.5,55.6,901.8000000000001
0329-GTIAJ,3,97.9,Month-to-month,0.9975412775256053,99.75,High Risk,Urgent - Retention Campaign,7.0,2.86,44.5,1174.8000000000002
5469-CTCWN,61,106.0,One year,0.9975398539408069,99.75,High Risk,Urgent - Retention Campaign,6.0,2.67,81.0,1272.0
0148-DCDOS,25,94.7,Month-to-month,0.9975392973494437,99.75,High Risk,Urgent - Retention Campaign,8.0,3.75,72.3,1136.4
1444-VVSGW,70,115.65,One year,0.9975345601080394,99.75,High Risk,Urgent - Retention Campaign,8.0,2.75,76.6,1387.8000000000002
9564-KCLHR,1,51.25,Month-to-month,0.9975339086727681,99.75,High Risk,Urgent - Retention Campaign,7.0,3.14,44.4,615.0
6770-XUAGN,1,21.0,Month-to-month,0.9975299170047479,99.75,High Risk,Urgent - Retention Campaign,5.0,3.2,37.9,252.0
1455-UGQVH,10,98.5,Month-to-month,0.9975263577168485,99.75,High Risk,Urgent - Retention Campaign,8.0,3.12,38.9,1182.0
6771-XWBDM,57,104.5,Month-to-month,0.9975262652093208,99.75,High Risk,Urgent - Retention Campaign,8.0,3.38,79.8,1254.0
4145-UQXUQ,8,92.1,Month-to-month,0.997524458533604,99.75,High Risk,Urgent - Retention Campaign,7.0,2.14,50.4,1105.1999999999998
2898-LSJGD,21,55.95,One year,0.9975214666761038,99.75,High Risk,Urgent - Retention Campaign,8.0,2.62,72.1,671.4000000000001
7409-KIUTL,1,71.0,Month-to-month,0.9975198670956275,99.75,High Risk,Urgent - Retention Campaign,8.0,3.38,55.2,852.0
6386-SZZKH,49,107.95,Two year,0.9975180375180217,99.75,High Risk,Urgent - Retention Campaign,5.0,3.2,86.4,1295.4
3393-FMZPV,25,100.25,Month-to-month,0.9975179733298707,99.75,High Risk,Urgent - Retention Campaign,6.0,3.17,63.4,1203.0
3428-XZMAZ,1,69.35,Month-to-month,0.9975156896805906,99.75,High Risk,Urgent - Retention Campaign,8.0,3.62,42.8,832.1999999999999
2725-KXXWT,1,90.75,Month-to-month,0.9975154705943606,99.75,High Risk,Urgent - Retention Campaign,8.0,3.38,47.2,1089.0
2369-UAPKZ,5,104.1,Month-to-month,0.9975153154809887,99.75,High Risk,Urgent - Retention Campaign,7.0,3.71,45.2,1249.1999999999998
0306-JAELE,5,96.1,Month-to-month,0.9975142688134135,99.75,High Risk,Urgent - Retention Campaign,6.0,2.5,38.0,1153.1999999999998
5174-RNGBH,9,66.25,Month-to-month,0.9975110151947039,99.75,High Risk,Urgent - Retention Campaign,6.0,3.17,51.2,795.0
