customerID,tenure,MonthlyCharges,Contract,total_services,churn_risk_score,health_score,upsell_opportunity
9782-LGXMC,49,61.75,Month-to-month,3,0.28,93.6,Add Streaming Services; Upgrade to Annual Contract
8338-QIUNR,72,66.5,Two year,3,3.55,93.6,Add Streaming Services
3055-OYMSE,53,73.8,Month-to-month,1,0.59,93.5,Add Protection Bundle; Add Streaming Services; Upgrade to Annual Contract
7633-MVPUY,57,59.75,Two year,3,0.28,93.4,Add Streaming Services
5127-BZENZ,56,65.2,One year,2,0.29,93.2,Add Protection Bundle
9577-WJVCQ,68,54.45,Month-to-month,1,0.34,93.1,Add Protection Bundle; Add Streaming Services; Upgrade to Annual Contract
9419-IPPBE,51,90.15,One year,2,0.52,93.0,Add Protection Bundle
9732-EQMWY,49,99.4,Month-to-month,4,0.46,93.0,Upgrade to Annual Contract
4423-JWZJN,64,90.25,One year,2,0.35,93.0,Add Protection Bundle
3062-ICYZQ,51,93.8,Month-to-month,3,0.48,93.0,Upgrade to Annual Contract
6872-HXFNF,64,58.35,One year,2,0.23,93.0,Add Protection Bundle; Add Streaming Services
7821-DPRQE,68,107.7,Month-to-month,5,0.44,92.9,Upgrade to Annual Contract
7148-XZPHA,55,79.4,Month-to-month,2,0.28,92.9,Add Protection Bundle; Add Streaming Services; Upgrade to Annual Contract
8535-SFUTN,61,106.45,Month-to-month,4,0.56,92.7,Upgrade to Annual Contract
2580-ATZSQ,65,61.35,One year,3,1.48,92.7,Add Streaming Services
6152-ONASV,68,58.25,One year,2,2.83,92.6,Add Protection Bundle; Add Streaming Services
4890-VMUAV,63,71.5,One year,4,5.79,92.3,Add Streaming Services
7322-OCWHC,72,93.05,Two year,4,3.44,92.2,Add Streaming Services
8468-EHYJA,57,99.65,Month-to-month,3,0.47,92.2,Upgrade to Annual Contract
2573-GYRUU,48,91.05,Month-to-month,2,0.6,92.1,Add Protection Bundle; Upgrade to Annual Contract
8587-XYZSF,67,50.55,Two year,1,0.45,92.0,Add Protection Bundle; Add Streaming Services
5331-RGMTT,54,99.05,Month-to-month,3,0.33,92.0,Upgrade to Annual Contract
1298-PHBTI,71,84.8,Two year,2,0.32,91.9,Add Protection Bundle; Add Streaming Services
0523-VNGTF,52,50.5,Month-to-month,4,6.86,91.8,Upgrade to Annual Contract
8050-XGRVL,62,54.75,One year,2,0.26,91.8,Add Protection Bundle; Add Streaming Services
8871-JLMHM,68,90.2,Two year,3,0.3,91.7,Add Streaming Services
9803-FTJCG,71,66.85,One year,3,0.26,91.7,Add Streaming Services
0014-BMAQU,63,84.65,Two year,2,0.36,91.5,Add Protection Bundle; Add Streaming Services
9822-WMWVG,41,106.5,Month-to-month,5,0.34,91.4,Upgrade to Annual Contract
1832-PEUTS,62,89.1,Two year,2,16.63,91.4,Add Protection Bundle; Add Tech Support
4462-CYWMH,62,89.8,Month-to-month,2,0.54,91.4,Add Protection Bundle; Upgrade to Annual Contract
2746-DIJLO,41,56.3,One year,1,0.29,91.4,Add Protection Bundle; Add Streaming Services
6128-AQBMT,41,53.95,Month-to-month,4,0.46,91.4,Upgrade to Annual Contract
3946-JEWRQ,47,95.2,One year,2,0.7,91.3,Add Protection Bundle
9943-VSZUV,67,75.7,Month-to-month,0,17.08,91.3,Add Protection Bundle; Add Streaming Services; Upgrade to Annual Contract; Add Tech Support
7925-PNRGI,45,81.3,Month-to-month,5,0.31,91.3,Upgrade to Annual Contract
6339-TBELP,71,86.4,Two year,2,7.4,91.0,Add Protection Bundle; Add Streaming Services
4191-XOVOM,63,105.4,Month-to-month,4,0.37,90.9,Upgrade to Annual Contract
6067-NGCEU,65,111.05,Month-to-month,5,0.64,90.9,Upgrade to Annual Contract
4010-YLMVT,56,106.6,Month-to-month,4,0.49,90.8,Upgrade to Annual Contract
2077-DDHJK,68,70.9,Two year,4,0.35,90.7,Add Streaming Services
3384-CTMSF,47,104.1,Month-to-month,4,1.0,90.7,Upgrade to Annual Contract
7426-GSWPO,64,103.5,Month-to-month,4,0.71,90.6,Upgrade to Annual Contract
9134-WYRVP,51,86.35,One year,2,0.42,90.6,Add Protection Bundle
8752-GHJFU,71,92.0,One year,4,3.73,90.6,Add Streaming Services
2676-SSLTO,49,66.15,Two year,2,0.43,90.6,Add Protection Bundle
4513-CXYIX,71,80.7,Two year,1,6.45,90.5,Add Protection Bundle; Add Streaming Services; Add Tech Support
9362-MWODR,40,64.1,Month-to-month,3,0.23,90.5,Upgrade to Annual Contract
6253-GNHWH,71,71.1,Two year,4,1.89,90.4,Add Streaming Services
2451-YMUXS,67,64.55,Two year,3,4.23,90.4,Add Streaming Services
6897-RWMUB,61,68.05,Two year,4,0.26,90.3,Add Streaming Services
1320-REHCS,52,110.75,Month-to-month,5,0.32,90.2,Upgrade to Annual Contract
1215-FIGMP,60,89.9,Month-to-month,2,0.5,90.1,Add Protection Bundle; Upgrade to Annual Contract
2240-HSJQD,38,81.85,Month-to-month,1,0.41,90.0,Add Protection Bundle; Add Streaming Services; Upgrade to Annual Contract
9499-XPZXM,72,64.75,Two year,3,0.18,90.0,Add Streaming Services
0516-UXRMT,62,92.05,One year,3,0.6,90.0,Add Streaming Services
9812-GHVRI,40,83.85,Month-to-month,1,0.49,89.9,Add Protection Bundle; Upgrade to Annual Contract
0440-QEXBZ,44,50.15,Month-to-month,0,0.4,89.8,Add Protection Bundle; Add Streaming Services; Upgrade to Annual Contract
9501-UKKNL,59,51.7,Month-to-month,3,0.31,89.8,Upgrade to Annual Contract
7973-DZRKH,66,90.95,Two year,3,0.44,89.7,Add Streaming Services
4159-NAAIX,63,97.45,Two year,3,8.25,89.6,Add Tech Support
8639-NHQEI,72,95.9,Two year,3,5.62,89.6,Add Tech Support
0471-ARVMX,62,104.85,One year,4,28.84,89.5,Add Tech Support
3503-TYDAY,43,80.45,Month-to-month,1,0.4,89.5,Add Protection Bundle; Add Streaming Services; Upgrade to Annual Contract
2363-BJLSL,62,80.4,Month-to-month,5,0.29,89.4,Upgrade to Annual Contract
9385-NXKDA,72,82.65,Two year,5,3.5,89.3,Add Tech Support
5945-AZYHT,71,109.6,One year,5,12.36,89.3,Add Tech Support
3528-HFRIQ,71,52.3,Month-to-month,4,0.47,89.3,Upgrade to Annual Contract
8565-WUXZU,72,84.8,Two year,3,1.87,89.3,Add Streaming Services
8590-YFFQO,70,64.95,Two year,4,1.98,89.2,Add Streaming Services
3115-JPJDD,59,81.25,One year,2,0.37,89.2,Add Protection Bundle; Add Streaming Services
7422-WNBTY,33,93.35,Month-to-month,3,0.47,89.2,Upgrade to Annual Contract
2250-IVBWA,64,81.05,Month-to-month,2,11.15,89.2,Add Protection Bundle; Add Streaming Services; Upgrade to Annual Contract
5816-QVHRX,37,100.3,Month-to-month,3,0.33,89.1,Upgrade to Annual Contract
6556-DBKZF,71,76.05,Two year,1,0.65,89.1,Add Protection Bundle; Add Streaming Services
1666-JXLKU,37,100.05,Month-to-month,3,0.43,89.1,Upgrade to Annual Contract
2954-PIBKO,69,64.15,Two year,3,0.31,89.0,Add Streaming Services
1834-ABKHQ,52,50.95,One year,1,4.79,89.0,Add Protection Bundle; Add Streaming Services; Add Tech Support
6092-QZVPP,36,79.2,Month-to-month,5,0.22,88.8,Upgrade to Annual Contract
9931-KGHOA,46,55.0,Month-to-month,1,0.3,88.8,Add Protection Bundle; Add Streaming Services; Upgrade to Annual Contract
6300-BWMJX,59,93.35,Month-to-month,3,0.38,88.8,Upgrade to Annual Contract
1730-VFMWO,34,50.2,Month-to-month,1,0.21,88.8,Add Protection Bundle; Add Streaming Services; Upgrade to Annual Contract
2067-QYTCF,64,111.15,Month-to-month,5,0.43,88.8,Upgrade to Annual Contract
2800-QQUSO,42,100.3,Month-to-month,3,0.54,88.7,Upgrade to Annual Contract
4989-LIXVT,68,95.9,Month-to-month,3,0.39,88.7,Upgrade to Annual Contract
1023-BQXZE,57,74.35,Two year,4,13.8,88.7,Add Tech Support
7921-BEPCI,72,59.75,Two year,2,0.27,88.6,Add Protection Bundle; Add Streaming Services
2294-DMMUS,62,70.45,Month-to-month,2,11.21,88.6,Add Protection Bundle; Upgrade to Annual Contract
1394-SUIUH,44,85.15,Month-to-month,3,0.32,88.6,Add Streaming Services; Upgrade to Annual Contract
9220-CXRSC,69,61.4,Two year,2,1.69,88.5,Add Protection Bundle; Add Streaming Services
8033-ATFAS,39,59.85,Month-to-month,2,0.33,88.4,Add Protection Bundle; Upgrade to Annual Contract
2160-GPFXD,54,65.65,Two year,3,0.31,88.4,Add Streaming Services
6682-QJDGB,40,55.25,Month-to-month,2,17.56,88.4,Add Protection Bundle; Add Streaming Services; Upgrade to Annual Contract; Add Tech Support
0665-XHDJU,72,99.4,Two year,3,4.78,88.3,Add Tech Support
6266-QHOJZ,65,89.85,One year,3,0.45,88.3,Add Streaming Services
1599-MMYRQ,62,81.45,One year,2,0.44,88.2,Add Protection Bundle; Add Streaming Services
8089-UZWLX,71,104.05,Two year,3,28.91,88.2,Add Tech Support
3014-WJKSM,29,75.3,Month-to-month,1,0.4,88.1,Add Protection Bundle; Add Streaming Services; Upgrade to Annual Contract
2430-RRYUW,66,54.8,One year,2,0.36,88.1,Add Protection Bundle; Add Streaming Services
3001-UNBTL,29,103.95,Month-to-month,3,0.77,88.1,Upgrade to Annual Contract
5965-GGPRW,72,105.25,Two year,4,3.39,88.1,Add Tech Support
2452-SNHFZ,47,75.45,Month-to-month,1,9.66,88.0,Add Protection Bundle; Add Streaming Services; Upgrade to Annual Contract; Add Tech Support
9548-ZMVTX,72,90.45,Two year,3,0.19,88.0,Add Streaming Services
6023-GSSXW,69,61.45,Two year,2,5.44,88.0,Add Protection Bundle; Add Tech Support
6416-JNVRK,46,55.65,One year,1,0.39,88.0,Add Protection Bundle
9978-HYCIN,47,84.95,One year,2,0.8,87.9,Add Protection Bundle
6710-HSJRD,61,114.1,Month-to-month,5,25.12,87.9,Upgrade to Annual Contract
1702-CCFNJ,52,61.35,Month-to-month,2,0.23,87.8,Add Protection Bundle; Add Streaming Services; Upgrade to Annual Contract
3926-YZVVX,41,50.05,One year,1,0.26,87.8,Add Protection Bundle; Add Streaming Services
0130-SXOUN,66,89.4,Month-to-month,2,7.25,87.7,Add Protection Bundle; Upgrade to Annual Contract
9711-FJTBX,56,85.85,One year,3,4.26,87.7,Add Streaming Services
4098-NAUKP,68,84.65,Month-to-month,2,0.51,87.7,Add Protection Bundle; Add Streaming Services; Upgrade to Annual Contract
5312-UXESG,41,98.05,Month-to-month,3,8.34,87.6,Upgrade to Annual Contract
8226-BXGES,64,89.45,One year,3,0.31,87.6,Add Streaming Services
8725-JEDFD,27,69.05,Month-to-month,0,0.33,87.5,Add Protection Bundle; Add Streaming Services; Upgrade to Annual Contract
3541-ZNUHK,55,85.1,Month-to-month,2,0.39,87.5,Add Protection Bundle; Add Streaming Services; Upgrade to Annual Contract
1173-NOEYG,27,90.15,Month-to-month,2,0.37,87.5,Add Protection Bundle; Upgrade to Annual Contract
4795-WRNVT,40,65.1,Month-to-month,3,6.61,87.5,Upgrade to Annual Contract; Add Tech Support
7130-YXBRO,48,111.45,Month-to-month,5,9.5,87.5,Upgrade to Annual Contract
2302-OUZXB,72,82.15,Two year,4,3.1,87.5,Add Tech Support
6195-MELTI,57,54.65,One year,2,0.3,87.4,Add Protection Bundle; Add Streaming Services
3863-QSTYI,59,64.65,Month-to-month,3,0.26,87.4,Upgrade to Annual Contract
8091-TTVAX,58,100.35,One year,3,11.47,87.3,Add Tech Support
3205-MXZRA,26,59.45,One year,2,0.2,87.2,Add Protection Bundle
5803-NQJZO,72,67.8,Two year,4,1.08,87.2,Add Streaming Services
7776-QGYJC,39,81.5,Month-to-month,2,0.34,87.2,Add Protection Bundle; Add Streaming Services; Upgrade to Annual Contract
4194-WHFCB,59,96.65,Month-to-month,3,9.06,87.2,Upgrade to Annual Contract
7716-YTYHG,48,82.05,One year,1,29.33,87.2,Add Protection Bundle; Add Tech Support
3428-MMGUB,60,89.55,Two year,2,0.54,87.1,Add Protection Bundle
7570-WELNY,68,84.7,Two year,2,0.45,87.1,Add Protection Bundle; Add Streaming Services
3605-JISKB,55,60.0,One year,2,2.75,87.1,Add Protection Bundle; Add Streaming Services
5499-ECUTN,47,66.05,One year,3,7.05,87.1,Add Tech Support
9699-UBQFS,43,94.5,Month-to-month,3,0.41,87.1,Upgrade to Annual Contract
0334-ZFJSR,55,66.05,One year,3,2.77,87.1,Add Streaming Services
8812-ZRHFP,30,86.45,One year,2,7.17,87.0,Add Protection Bundle; Add Tech Support
7426-WEIJX,60,80.95,Month-to-month,1,0.64,86.9,Add Protection Bundle; Add Streaming Services; Upgrade to Annual Contract
9822-BIIGN,53,71.85,Month-to-month,3,0.33,86.9,Upgrade to Annual Contract
2519-TWKFS,25,55.1,One year,1,0.41,86.9,Add Protection Bundle; Add Streaming Services
7564-GHCVB,72,79.05,Two year,1,0.28,86.8,Add Protection Bundle; Add Streaming Services
1751-NCDLI,46,98.85,Month-to-month,3,0.6,86.8,Upgrade to Annual Contract
8631-WUXGY,46,99.8,Month-to-month,4,0.63,86.8,Upgrade to Annual Contract
3200-MNQTF,67,70.9,Two year,4,0.37,86.8,Add Streaming Services
6374-AFWOX,46,65.65,Two year,4,0.21,86.8,Add Streaming Services
6252-DFGTK,37,68.1,One year,3,0.25,86.7,Add Streaming Services
0129-KPTWJ,72,94.65,Month-to-month,3,18.35,86.7,Upgrade to Annual Contract; Add Tech Support
0786-IVLAW,66,108.1,One year,4,7.92,86.7,Add Tech Support
4983-CLMLV,52,102.7,Month-to-month,4,19.56,86.7,Upgrade to Annual Contract
9742-XOKTS,67,89.55,One year,3,3.28,86.6,Add Streaming Services
8149-AIQCG,39,73.15,Month-to-month,0,0.57,86.6,Add Protection Bundle; Add Streaming Services; Upgrade to Annual Contract
5315-CKEQK,28,51.0,One year,0,6.22,86.6,Add Protection Bundle; Add Streaming Services
3841-NFECX,71,96.35,Two year,4,0.37,86.5,Add Streaming Services
3126-WQMGH,49,52.15,Month-to-month,0,0.47,86.4,Add Protection Bundle; Add Streaming Services; Upgrade to Annual Contract
4948-WBBKL,36,74.9,Month-to-month,0,0.59,86.4,Add Protection Bundle; Add Streaming Services; Upgrade to Annual Contract
8990-YOZLV,69,66.9,Two year,3,0.3,86.4,Add Streaming Services
2190-PHBHR,72,94.45,Two year,3,8.84,86.3,Add Tech Support
5993-JSUWV,66,61.15,Two year,3,0.36,86.3,Add Streaming Services
2851-MMUTZ,27,56.15,Month-to-month,2,0.21,86.3,Add Protection Bundle; Add Streaming Services; Upgrade to Annual Contract
2675-DHUTR,58,98.9,Month-to-month,3,27.6,86.3,Upgrade to Annual Contract
7173-TETGO,72,78.5,Two year,1,0.26,86.2,Add Protection Bundle; Add Streaming Services
0921-OHLVP,22,83.05,Month-to-month,1,0.38,86.1,Add Protection Bundle; Upgrade to Annual Contract
9359-JANWS,65,58.9,Two year,3,0.15,86.1,Add Streaming Services
2969-VAPYH,67,60.5,One year,3,1.44,86.0,Add Streaming Services
6047-SUHPR,39,59.8,One year,3,0.28,86.0,Add Streaming Services
4942-VZZOM,64,66.15,One year,2,4.05,86.0,Add Protection Bundle
3524-WQDSG,43,99.3,Month-to-month,3,0.58,85.9,Upgrade to Annual Contract
0215-BQKGS,30,84.3,Month-to-month,3,0.47,85.9,Add Streaming Services; Upgrade to Annual Contract
4992-LTJNE,72,55.3,Two year,1,1.56,85.9,Add Protection Bundle; Add Streaming Services; Add Tech Support
7472-EQOAV,71,86.7,One year,3,0.61,85.9,Add Streaming Services
8190-ZTQFB,41,51.35,One year,3,12.75,85.9,Add Tech Support
7402-PWYJJ,53,91.15,One year,2,0.46,85.9,Add Protection Bundle
3340-QBBFM,36,54.1,One year,2,0.26,85.8,Add Protection Bundle; Add Streaming Services
7892-QVYKW,23,85.6,Month-to-month,1,0.49,85.8,Add Protection Bundle; Upgrade to Annual Contract
1097-FSPVW,42,54.55,Month-to-month,2,0.29,85.7,Add Protection Bundle; Add Streaming Services; Upgrade to Annual Contract
5201-FRKKS,25,74.3,Month-to-month,1,0.25,85.7,Add Protection Bundle; Add Streaming Services; Upgrade to Annual Contract
4701-AHWMW,55,54.55,Month-to-month,4,5.54,85.7,Upgrade to Annual Contract
8231-BSWXX,71,79.05,One year,1,2.54,85.7,Add Protection Bundle; Add Streaming Services
1469-LBJQJ,66,105.2,Month-to-month,4,0.39,85.7,Upgrade to Annual Contract
3401-URHDA,51,59.9,One year,2,2.43,85.6,Add Protection Bundle; Add Streaming Services
8849-AYPTR,33,91.25,Month-to-month,2,0.68,85.6,Add Protection Bundle; Upgrade to Annual Contract
5136-RGMZO,31,71.05,Month-to-month,3,0.41,85.6,Upgrade to Annual Contract
2931-VUVJN,59,94.05,One year,4,0.38,85.6,Add Streaming Services
0177-PXBAT,33,109.9,Month-to-month,5,0.37,85.6,Upgrade to Annual Contract
2824-MYYBN,37,95.25,Month-to-month,2,0.84,85.5,Add Protection Bundle; Upgrade to Annual Contract
0392-BZIUW,72,105.0,Two year,4,4.44,85.5,Add Tech Support
3740-RLMVT,67,60.95,One year,3,2.96,85.5,Add Streaming Services
9207-ZPANB,37,67.45,One year,4,0.24,85.5,Add Streaming Services
3657-COGMW,52,108.1,Month-to-month,5,9.65,85.4,Upgrade to Annual Contract
2057-BOYKM,72,96.6,Two year,4,2.89,85.4,Add Streaming Services
0757-WCUUZ,54,63.35,Two year,2,1.43,85.4,Add Protection Bundle
1813-JYWTO,72,80.45,Two year,1,1.81,85.4,Add Protection Bundle; Add Streaming Services
5968-XQIVE,72,89.7,One year,2,5.09,85.4,Add Protection Bundle; Add Tech Support
7361-YPXFS,28,64.45,Month-to-month,3,0.23,85.4,Add Streaming Services; Upgrade to Annual Contract
2824-DXNKN,72,71.45,Two year,3,5.72,85.4,Add Tech Support
8404-FYDIB,26,86.65,Month-to-month,2,0.39,85.4,Add Protection Bundle; Add Streaming Services; Upgrade to Annual Contract
8058-DMYRU,54,90.05,Month-to-month,2,0.45,85.4,Add Protection Bundle; Upgrade to Annual Contract
8663-UPDGF,26,69.5,Month-to-month,3,0.35,85.4,Upgrade to Annual Contract
3209-ZPKFI,47,54.25,Month-to-month,1,0.27,85.3,Add Protection Bundle; Add Streaming Services; Upgrade to Annual Contract
7945-HLKEA,60,64.75,One year,3,3.16,85.3,Add Streaming Services
4565-EVZMJ,47,58.9,One year,3,4.04,85.3,Add Streaming Services
1930-WNXSB,58,92.85,Month-to-month,3,0.38,85.3,Upgrade to Annual Contract
3154-CFSZG,47,90.05,Month-to-month,3,0.46,85.3,Upgrade to Annual Contract
0924-BJCRC,60,89.45,Month-to-month,2,27.42,85.3,Add Protection Bundle; Upgrade to Annual Contract; Add Tech Support
9701-CDXHR,51,69.15,Month-to-month,0,6.1,85.2,Add Protection Bundle; Add Streaming Services; Upgrade to Annual Contract
3865-QBWSJ,38,80.45,Month-to-month,1,0.61,85.2,Add Protection Bundle; Add Streaming Services; Upgrade to Annual Contract
3404-JNXAX,51,80.75,Month-to-month,1,0.58,85.2,Add Protection Bundle; Add Streaming Services; Upgrade to Annual Contract
0089-IIQKO,39,99.95,Month-to-month,3,27.17,85.2,Upgrade to Annual Contract
8707-RMEZH,69,87.3,One year,3,3.99,85.2,Add Tech Support
7306-YDSOI,69,59.75,Two year,3,2.75,85.2,Add Streaming Services
3170-GWYKC,60,104.95,Month-to-month,5,13.11,85.1,Upgrade to Annual Contract
9640-ZSLDC,53,60.6,One year,2,0.29,85.1,Add Protection Bundle
5129-JLPIS,25,105.5,Month-to-month,5,0.28,85.1,Upgrade to Annual Contract
4109-CYRBD,29,51.6,Month-to-month,0,0.33,85.1,Add Protection Bundle; Add Streaming Services; Upgrade to Annual Contract
7502-BNYGS,46,69.1,Month-to-month,3,6.39,85.0,Upgrade to Annual Contract
1769-GRUIK,18,71.1,Month-to-month,0,0.45,85.0,Add Protection Bundle; Add Streaming Services; Upgrade to Annual Contract
7929-DMBCV,20,81.0,Month-to-month,2,0.4,85.0,Add Protection Bundle; Add Streaming Services; Upgrade to Annual Contract
7395-XWZOY,20,55.0,Month-to-month,5,0.22,85.0,Upgrade to Annual Contract
3489-VSFRD,56,60.25,One year,3,2.01,85.0,Add Streaming Services
8705-DWKTI,52,83.8,Month-to-month,2,15.09,85.0,Add Protection Bundle; Upgrade to Annual Contract
2239-CGBUZ,51,60.5,One year,3,2.26,85.0,Add Streaming Services
6035-BXTTY,32,54.65,Month-to-month,2,4.0,84.9,Add Protection Bundle; Add Streaming Services; Upgrade to Annual Contract
9470-XCCEM,35,89.65,Month-to-month,2,0.55,84.9,Add Protection Bundle; Upgrade to Annual Contract
2522-AHJXR,60,109.45,Month-to-month,5,13.1,84.9,Upgrade to Annual Contract
0595-ITUDF,64,91.8,Month-to-month,3,23.92,84.8,Add Streaming Services; Upgrade to Annual Contract
0853-NWIFK,45,100.3,One year,4,28.75,84.8,Add Tech Support
7470-DYNOE,53,61.1,One year,2,7.16,84.8,Add Protection Bundle; Add Tech Support
9755-JHNMN,49,67.4,Two year,4,0.4,84.8,Add Streaming Services
2267-WTPYD,57,94.0,Month-to-month,3,0.4,84.8,Upgrade to Annual Contract
2267-FPIMA,50,94.4,Month-to-month,3,14.92,84.8,Upgrade to Annual Contract; Add Tech Support
7105-MXJLL,26,60.7,One year,2,0.25,84.8,Add Protection Bundle
1325-USMEC,70,99.35,Two year,4,12.04,84.7,Add Tech Support
7596-ZYWBB,65,59.6,Two year,3,2.38,84.7,Add Streaming Services
9477-LGWQI,70,80.15,Two year,5,6.87,84.7,Add Tech Support
7136-IHZJA,40,71.35,Month-to-month,4,0.4,84.7,Upgrade to Annual Contract
4385-ZKVNW,44,54.9,Month-to-month,2,0.36,84.6,Add Protection Bundle; Add Streaming Services; Upgrade to Annual Contract
2587-EKXTS,44,111.5,Month-to-month,5,0.38,84.6,Upgrade to Annual Contract
6646-QVXLR,62,103.75,One year,4,18.48,84.5,Add Tech Support
6873-UDNLD,40,67.45,Month-to-month,3,0.41,84.5,Upgrade to Annual Contract
6563-VNPMN,45,85.7,Month-to-month,3,7.17,84.5,Add Streaming Services; Upgrade to Annual Contract
5014-WUQMG,47,96.1,One year,4,16.18,84.5,Add Tech Support
4381-MHQDC,47,65.0,Two year,3,1.68,84.5,Add Streaming Services
7520-HQWJU,66,67.45,Month-to-month,3,0.23,84.5,Add Streaming Services; Upgrade to Annual Contract
5614-DNZCE,58,64.9,Two year,4,0.37,84.5,Add Streaming Services
0943-ZQPXH,44,92.95,Month-to-month,3,0.65,84.4,Upgrade to Annual Contract
5575-TPIZQ,46,89.15,Month-to-month,2,21.35,84.4,Add Protection Bundle; Upgrade to Annual Contract
0254-WWRKD,67,50.55,One year,1,1.68,84.4,Add Protection Bundle; Add Streaming Services
3723-BFBGR,24,54.8,Month-to-month,1,0.33,84.3,Add Protection Bundle; Add Streaming Services; Upgrade to Annual Contract
2378-VTKDH,65,104.35,Month-to-month,4,0.48,84.3,Upgrade to Annual Contract
5593-SUAOO,24,83.15,One year,2,0.37,84.3,Add Protection Bundle; Add Streaming Services
8547-NSBBO,35,96.75,Month-to-month,4,0.38,84.3,Add Streaming Services; Upgrade to Annual Contract
3948-KXDUF,66,68.75,Two year,4,3.34,84.3,Add Streaming Services
6900-RBKER,52,89.45,Two year,2,22.52,84.3,Add Protection Bundle; Add Tech Support
7537-CBQUZ,63,109.4,Month-to-month,5,0.44,84.3,Upgrade to Annual Contract
5343-SGUBI,52,80.2,One year,1,0.48,84.2,Add Protection Bundle; Add Streaming Services
8510-TMWYB,54,59.8,Two year,2,0.27,84.2,Add Protection Bundle; Add Streaming Services
5753-QQWPW,28,59.9,One year,3,0.34,84.2,Add Streaming Services
4869-EPIUS,56,80.9,One year,1,0.7,84.2,Add Protection Bundle
3629-ZNKXA,17,101.8,Month-to-month,4,0.33,84.1,Upgrade to Annual Contract
3452-GWUIN,19,94.95,Month-to-month,2,0.85,84.1,Add Protection Bundle; Upgrade to Annual Contract
0270-THENM,72,69.85,Two year,4,1.06,84.0,Add Streaming Services
3850-OKINF,71,66.2,One year,2,3.43,84.0,Add Protection Bundle; Add Tech Support
8495-LJDFO,64,108.95,Month-to-month,5,0.52,84.0,Upgrade to Annual Contract
7346-MEDWM,59,83.25,Month-to-month,2,0.45,84.0,Add Protection Bundle; Add Streaming Services; Upgrade to Annual Contract
8680-CGLTP,29,58.75,One year,3,0.23,83.9,Add Streaming Services
2868-LLSKM,68,83.65,One year,2,0.23,83.9,Add Protection Bundle; Add Streaming Services
4526-ZJJTM,25,88.4,Month-to-month,3,0.36,83.9,Upgrade to Annual Contract
7820-ZYGNY,63,90.45,One year,2,3.54,83.9,Add Protection Bundle
9036-CSKBW,51,107.45,One year,5,20.85,83.8,Add Tech Support
6080-TCMYC,40,81.2,Month-to-month,1,25.4,83.8,Add Protection Bundle; Add Streaming Services; Upgrade to Annual Contract; Add Tech Support
9762-YAQAA,39,81.4,One year,1,0.52,83.8,Add Protection Bundle; Add Streaming Services
3094-JOJAI,18,74.15,Month-to-month,0,0.42,83.8,Add Protection Bundle; Add Streaming Services; Upgrade to Annual Contract
8709-KRDVL,33,100.0,Month-to-month,3,0.53,83.8,Upgrade to Annual Contract
5684-FJVYR,72,90.35,Two year,3,0.22,83.8,Add Streaming Services
1074-AMIOH,53,108.25,Month-to-month,5,6.41,83.7,Upgrade to Annual Contract
9512-UIBFX,18,95.15,Month-to-month,3,28.76,83.7,Upgrade to Annual Contract; Add Tech Support
6559-PDZLR,26,98.65,Month-to-month,4,0.31,83.6,Upgrade to Annual Contract
